BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2_distrust10sw_lazy,,,,,,,,,,,,,,,,,
08/19/2016 14:05:37:025 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
1,true,"""random""",false,10,"""small-world""",300,95,124,301,74,227,1,1,2844,343,104,196
2,true,"""random""",false,10,"""small-world""",300,95,41,301,24,277,1,1,372,379,249,51
3,true,"""random""",false,10,"""small-world""",300,95,86,301,207,94,1,1,228,347,263,37
4,true,"""random""",false,10,"""small-world""",300,95,163,301,95,206,1,0.1428571429,1751,763,194,106
5,true,"""random""",false,10,"""small-world""",300,95,63,301,211,90,0.1428571429,1,189,332,258,42
6,true,"""random""",false,10,"""small-world""",300,95,57,301,163,138,1,1,263,340,242,58
7,true,"""random""",false,10,"""small-world""",300,95,86,301,63,238,1,1,573,164,124,176
8,true,"""random""",false,10,"""small-world""",300,95,54,301,203,98,0.5,0.0454545455,215,350,258,42
9,true,"""random""",false,10,"""small-world""",300,95,77,301,134,167,1,1,504,395,232,68
10,true,"""random""",false,10,"""small-world""",300,95,61,301,155,146,1,0.5,305,142,128,172
11,true,"""random""",false,10,"""small-world""",300,95,65,301,196,105,1,1,360,386,247,53
12,true,"""random""",false,10,"""small-world""",300,95,48,301,31,270,1,1,216,323,255,45
13,true,"""random""",false,10,"""small-world""",300,95,73,301,157,144,1,1,758,185,114,186
14,true,"""random""",false,10,"""small-world""",300,95,216,301,138,163,0.3333333333,1,1504,721,205,95
15,true,"""random""",false,10,"""small-world""",300,95,57,301,28,273,0.5,1,257,334,247,53
16,true,"""random""",false,10,"""small-world""",300,95,52,301,121,180,1,1,121,312,267,33
17,true,"""random""",false,10,"""small-world""",300,95,66,301,277,24,1,1,1096,247,114,186
18,true,"""random""",false,10,"""small-world""",300,95,87,301,168,133,0.5,0.1,654,461,223,77
19,true,"""random""",false,10,"""small-world""",300,95,54,301,275,26,1,1,286,347,257,43
20,true,"""random""",false,10,"""small-world""",300,95,78,301,244,57,1,0.5,485,158,113,187
21,true,"""random""",false,10,"""small-world""",300,95,89,301,243,58,0.5,1,353,380,245,55
22,true,"""random""",false,10,"""small-world""",300,95,85,301,157,144,1,1,398,371,231,69
23,true,"""random""",false,10,"""small-world""",300,95,55,301,173,128,0.3333333333,0.1,271,148,135,165
24,true,"""random""",false,10,"""small-world""",300,95,60,301,145,156,1,0.2,459,374,221,79
25,true,"""random""",false,10,"""small-world""",300,95,81,301,252,49,1,1,336,387,254,46
26,true,"""random""",false,10,"""small-world""",300,95,413,301,79,222,1,0.3333333333,4714,1661,169,131
27,true,"""random""",false,10,"""small-world""",300,95,57,301,177,124,1,0.5,391,380,238,62
28,true,"""random""",false,10,"""small-world""",300,95,87,301,192,109,0.25,1,1047,216,113,187
29,true,"""random""",false,10,"""small-world""",300,95,85,301,223,78,1,1,792,495,220,80
30,true,"""random""",false,10,"""small-world""",300,95,66,301,248,53,1,0.0454545455,195,330,259,41
31,true,"""random""",false,10,"""small-world""",300,95,73,301,151,150,1,1,610,457,248,52
32,true,"""random""",false,10,"""small-world""",300,95,55,301,15,286,1,1,625,192,127,173
33,true,"""random""",false,10,"""small-world""",300,95,141,301,145,156,0.5,1,1121,184,111,189
34,true,"""random""",false,10,"""small-world""",300,95,39,301,273,28,1,0.5,113,308,268,32
35,true,"""random""",false,10,"""small-world""",300,95,74,301,133,168,1,1,404,377,232,68
