BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2_distrust300sw_lazyproportion100,,,,,,,,,,,,,,,,,
08/19/2016 10:47:17:234 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
1,true,"""random""",false,100,"""small-world""",300,95,58,301,56,245,0.5,0.5,286,147,134,166
2,true,"""random""",false,100,"""small-world""",300,95,101,301,95,206,1,1,791,0,0,300
3,true,"""random""",false,100,"""small-world""",300,95,76,301,296,5,0.5,1,909,0,0,300
4,true,"""random""",false,100,"""small-world""",300,95,73,301,100,201,1,0.5,603,0,0,300
5,true,"""random""",false,100,"""small-world""",300,95,170,301,176,125,1,0.25,1247,0,0,300
6,true,"""random""",false,100,"""small-world""",300,95,103,301,207,94,0.5,0.5,1022,189,113,187
7,true,"""random""",false,100,"""small-world""",300,95,56,301,27,274,1,0.25,875,216,121,179
8,true,"""random""",false,100,"""small-world""",300,95,42,301,105,196,1,0.0909090909,429,0,0,300
9,true,"""random""",false,100,"""small-world""",300,95,112,301,108,193,0.5,0.1111111111,1012,225,121,179
10,true,"""random""",false,100,"""small-world""",300,95,56,301,265,36,1,1,723,0,0,300
11,true,"""random""",false,100,"""small-world""",300,95,124,301,197,104,0.1666666667,1,907,0,0,300
12,true,"""random""",false,100,"""small-world""",300,95,82,301,257,44,1,1,655,0,0,300
13,true,"""random""",false,100,"""small-world""",300,95,185,301,102,199,1,1,1951,0,0,300
14,true,"""random""",false,100,"""small-world""",300,95,71,301,125,176,1,1,389,144,131,169
15,true,"""random""",false,100,"""small-world""",300,95,93,301,224,77,1,1,624,169,117,183
16,true,"""random""",false,100,"""small-world""",300,95,106,301,143,158,1,1,765,0,0,300
17,true,"""random""",false,100,"""small-world""",300,95,64,301,76,225,1,0.5,573,0,0,300
18,true,"""random""",false,100,"""small-world""",300,95,58,301,85,216,0.3333333333,1,845,0,0,300
19,true,"""random""",false,100,"""small-world""",300,95,55,301,161,140,1,1,370,151,126,174
20,true,"""random""",false,100,"""small-world""",300,95,75,301,226,75,1,1,651,0,0,300
21,true,"""random""",false,100,"""small-world""",300,95,63,301,260,41,1,1,507,156,124,176
22,true,"""random""",false,100,"""small-world""",300,95,62,301,174,127,1,0.5,510,167,119,181
23,true,"""random""",false,100,"""small-world""",300,95,172,301,213,88,1,0.5,1435,0,0,300
24,true,"""random""",false,100,"""small-world""",300,95,48,301,83,218,1,0.25,471,0,0,300
25,true,"""random""",false,100,"""small-world""",300,95,101,301,135,166,0.5,1,761,0,0,300
26,true,"""random""",false,100,"""small-world""",300,95,51,301,84,217,1,0.3333333333,483,0,0,300
27,true,"""random""",false,100,"""small-world""",300,95,85,301,4,297,1,1,790,203,126,174
28,true,"""random""",false,100,"""small-world""",300,95,71,301,123,178,1,0.3333333333,1001,0,0,300
29,true,"""random""",false,100,"""small-world""",300,95,66,301,46,255,1,0.5,1273,0,0,300
30,true,"""random""",false,100,"""small-world""",300,95,155,301,77,224,1,1,843,0,0,300
31,true,"""random""",false,100,"""small-world""",300,95,62,301,254,47,1,1,691,0,0,300
32,true,"""random""",false,100,"""small-world""",300,95,74,301,249,52,1,1,686,217,128,172
33,true,"""random""",false,100,"""small-world""",300,95,83,301,85,216,0.25,1,739,0,0,300
34,true,"""random""",false,100,"""small-world""",300,95,77,301,228,73,0.25,1,763,198,118,182
35,true,"""random""",false,100,"""small-world""",300,95,90,301,141,160,0.5,0.5,636,173,121,179
36,true,"""random""",false,100,"""small-world""",300,95,88,301,148,153,1,1,631,0,0,300
37,true,"""random""",false,100,"""small-world""",300,95,60,301,225,76,0.3333333333,0.5,591,0,0,300
38,true,"""random""",false,100,"""small-world""",300,95,51,301,241,60,1,1,591,0,0,300
39,true,"""random""",false,100,"""small-world""",300,95,70,301,216,85,0.3333333333,1,999,0,0,300
40,true,"""random""",false,100,"""small-world""",300,95,142,301,179,122,1,1,1999,0,0,300
41,true,"""random""",false,100,"""small-world""",300,95,71,301,152,149,0.25,1,1443,0,0,300
42,true,"""random""",false,100,"""small-world""",300,95,66,301,9,292,1,1,1177,0,0,300
43,true,"""random""",false,100,"""small-world""",300,95,106,301,173,128,0.5,1,997,206,110,190
44,true,"""random""",false,100,"""small-world""",300,95,67,301,85,216,0.3333333333,1,537,0,0,300
45,true,"""random""",false,100,"""small-world""",300,95,67,301,223,78,0.25,0.5,711,0,0,300
46,true,"""random""",false,100,"""small-world""",300,95,70,301,191,110,1,1,473,154,126,174
47,true,"""random""",false,100,"""small-world""",300,95,176,301,173,128,0.5,1,2133,0,0,300
48,true,"""random""",false,100,"""small-world""",300,95,90,301,136,165,1,0.25,862,171,121,179
49,true,"""random""",false,100,"""small-world""",300,95,48,301,221,80,0.5,1,485,0,0,300
50,true,"""random""",false,100,"""small-world""",300,95,55,301,38,263,1,1,473,0,0,300
51,true,"""random""",false,100,"""small-world""",300,95,103,301,238,63,1,1,2843,0,0,300
52,true,"""random""",false,100,"""small-world""",300,95,57,301,118,183,1,0.5,331,148,129,171
53,true,"""random""",false,100,"""small-world""",300,95,54,301,231,70,0.3333333333,1,729,0,0,300
54,true,"""random""",false,100,"""small-world""",300,95,63,301,234,67,0.3333333333,1,485,160,130,170
55,true,"""random""",false,100,"""small-world""",300,95,239,301,124,177,0.5,1,1861,0,0,300
56,true,"""random""",false,100,"""small-world""",300,95,54,301,224,77,1,1,525,0,0,300
57,true,"""random""",false,100,"""small-world""",300,95,45,301,80,221,1,1,593,0,0,300
58,true,"""random""",false,100,"""small-world""",300,95,46,301,211,90,1,0.25,443,0,0,300
59,true,"""random""",false,100,"""small-world""",300,95,81,301,102,199,1,1,690,171,123,177
60,true,"""random""",false,100,"""small-world""",300,95,59,301,174,127,1,1,803,0,0,300
61,true,"""random""",false,100,"""small-world""",300,95,55,301,95,206,1,0.5,541,0,0,300
62,true,"""random""",false,100,"""small-world""",300,95,48,301,282,19,1,1,451,0,0,300
63,true,"""random""",false,100,"""small-world""",300,95,67,301,238,63,1,0.0909090909,547,0,0,300
64,true,"""random""",false,100,"""small-world""",300,95,59,301,238,63,0.5,0.5,563,0,0,300
65,true,"""random""",false,100,"""small-world""",300,95,57,301,263,38,0.5,0.5,683,0,0,300
66,true,"""random""",false,100,"""small-world""",300,95,50,301,291,10,1,1,341,150,136,164
67,true,"""random""",false,100,"""small-world""",300,95,71,301,49,252,1,0.5,533,0,0,300
68,true,"""random""",false,100,"""small-world""",300,95,112,301,70,231,0.3333333333,1,911,0,0,300
69,true,"""random""",false,100,"""small-world""",300,95,72,301,179,122,1,1,492,157,124,176
70,true,"""random""",false,100,"""small-world""",300,95,59,301,0,301,1,1,483,0,0,300
71,true,"""random""",false,100,"""small-world""",300,95,209,301,173,128,0.3333333333,1,2057,0,0,300
72,true,"""random""",false,100,"""small-world""",300,95,45,301,202,99,1,1,377,0,0,300
73,true,"""random""",false,100,"""small-world""",300,95,79,301,61,240,1,0.5,959,0,0,300
74,true,"""random""",false,100,"""small-world""",300,95,47,301,204,97,1,1,543,0,0,300
75,true,"""random""",false,100,"""small-world""",300,95,81,301,144,157,1,1,710,183,121,179
76,true,"""random""",false,100,"""small-world""",300,95,49,301,7,294,1,1,707,0,0,300
77,true,"""random""",false,100,"""small-world""",300,95,85,301,244,57,0.25,0.5,631,0,0,300
78,true,"""random""",false,100,"""small-world""",300,95,100,301,144,157,1,1,1357,0,0,300
79,true,"""random""",false,100,"""small-world""",300,95,73,301,213,88,1,0.5,1017,0,0,300
80,true,"""random""",false,100,"""small-world""",300,95,50,301,78,223,0.5,1,345,158,130,170
81,true,"""random""",false,100,"""small-world""",300,95,191,301,112,189,1,0.125,1917,0,0,300
82,true,"""random""",false,100,"""small-world""",300,95,63,301,120,181,1,1,453,0,0,300
83,true,"""random""",false,100,"""small-world""",300,95,107,301,118,183,1,1,2053,0,0,300
84,true,"""random""",false,100,"""small-world""",300,95,46,301,231,70,1,0.3333333333,507,0,0,300
85,true,"""random""",false,100,"""small-world""",300,95,123,301,104,197,1,1,939,198,122,178
86,true,"""random""",false,100,"""small-world""",300,95,68,301,258,43,1,1,721,0,0,300
87,true,"""random""",false,100,"""small-world""",300,95,121,301,85,216,1,1,1565,0,0,300
88,true,"""random""",false,100,"""small-world""",300,95,94,301,285,16,1,1,825,0,0,300
89,true,"""random""",false,100,"""small-world""",300,95,55,301,133,168,0.5,1,481,0,0,300
90,true,"""random""",false,100,"""small-world""",300,95,70,301,236,65,0.5,1,817,0,0,300
91,true,"""random""",false,100,"""small-world""",300,95,82,301,222,79,1,1,663,170,121,179
92,true,"""random""",false,100,"""small-world""",300,95,68,301,237,64,1,1,593,0,0,300
93,true,"""random""",false,100,"""small-world""",300,95,136,301,139,162,0.5,1,1081,0,0,300
94,true,"""random""",false,100,"""small-world""",300,95,78,301,91,210,1,1,903,0,0,300
95,true,"""random""",false,100,"""small-world""",300,95,48,301,97,204,1,1,581,0,0,300
96,true,"""random""",false,100,"""small-world""",300,95,52,301,287,14,1,0.5,593,0,0,300
97,true,"""random""",false,100,"""small-world""",300,95,65,301,132,169,1,1,517,0,0,300
98,true,"""random""",false,100,"""small-world""",300,95,49,301,253,48,0.5,1,387,154,133,167
99,true,"""random""",false,100,"""small-world""",300,95,66,301,31,270,1,1,623,0,0,300
100,true,"""random""",false,100,"""small-world""",300,95,59,301,179,122,1,1,843,0,0,300
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,45.35,32.25,
