BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2b_distrust300sw_lazyproportion50_lazylazy,,,,,,,,,,,,,,,,,
08/19/2016 11:22:50:446 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
16,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,165,301,241,60,0.5,0.5,1666,373,96,204
51,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,75,301,127,174,1,0.3333333333,1091,194,105,195
74,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,80,301,114,187,0.1666666667,1,1408,263,105,195
56,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,85,301,146,155,1,1,1497,328,107,193
57,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,73,301,194,107,1,1,725,176,111,189
36,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,100,301,268,33,1,0.25,792,193,111,189
80,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,89,301,222,79,1,1,1154,279,111,189
32,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,64,301,200,101,1,1,682,195,113,187
54,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,120,301,213,88,0.5,1,827,216,113,187
77,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,100,301,191,110,1,1,721,230,113,187
88,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,107,301,88,213,1,0.3333333333,1160,313,113,187
92,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,110,301,215,86,0.5,1,1362,335,113,187
19,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,102,301,149,152,1,1,819,172,116,184
60,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,93,301,101,200,1,0.1666666667,1594,289,116,184
1,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,79,301,145,156,1,1,749,198,118,182
63,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,126,301,113,188,0.5,1,789,252,118,182
31,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,103,301,162,139,0.0666666667,1,778,223,119,181
71,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,106,301,68,233,1,1,937,254,119,181
42,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,85,301,158,143,1,1,1066,265,119,181
43,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,128,301,100,201,0.5,0.3333333333,1130,307,119,181
12,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,68,301,42,259,1,0.5,700,191,120,180
24,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,93,301,163,138,1,1,764,247,120,180
76,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,71,301,55,246,1,1,619,160,121,179
6,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,75,301,76,225,1,0.5,1012,217,121,179
72,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,106,301,157,144,1,1,1080,229,121,179
9,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,65,301,174,127,1,0.5,475,176,122,178
58,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,83,301,151,150,0.25,1,679,194,122,178
55,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,103,301,206,95,1,0.1666666667,721,226,122,178
96,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,97,301,171,130,1,1,963,234,122,178
27,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,81,301,146,155,1,1,493,154,123,177
4,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,81,301,155,146,0.3333333333,1,394,189,123,177
29,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,88,301,260,41,0.3333333333,1,1193,346,123,177
14,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,60,301,156,145,1,0.5,484,181,124,176
86,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,63,301,203,98,1,0.5,623,210,124,176
38,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,97,301,173,128,0.2,0.5,456,197,125,175
68,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,75,301,121,180,1,0.5,606,209,125,175
78,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,93,301,112,189,1,1,672,225,125,175
97,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,91,301,75,226,1,1,598,195,126,174
67,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,67,301,151,150,1,0.5,601,196,126,174
46,true,"""lazyP-lazyNotP""",false,50,"""small-world""",300,95,69,301,158,143,1,1,406,157,127,173
