BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2b_distrust300sw_lazyproportion50_lazyskeptic,,,,,,,,,,,,,,,,,
08/19/2016 11:26:20:011 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
35,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,83,301,195,106,0.1666666667,0.5,1921,340,92,208
63,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,51,301,177,124,0.5,0.0625,1178,181,100,200
71,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,59,301,158,143,1,1,800,171,102,198
41,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,92,301,99,202,1,1,983,196,107,193
22,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,98,301,156,145,1,1,1027,202,111,189
100,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,105,301,133,168,1,1,1407,304,111,189
76,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,117,301,215,86,1,1,1503,332,112,188
19,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,52,301,128,173,0.3333333333,0.5,503,180,115,185
97,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,125,301,133,168,1,0.5,951,196,115,185
17,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,61,301,133,168,1,0.5,1040,209,115,185
7,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,58,301,43,258,1,1,507,152,116,184
53,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,82,301,46,255,1,1,768,183,116,184
80,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,86,301,166,135,1,1,778,171,117,183
93,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,67,301,131,170,1,0.25,921,210,118,182
62,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,54,301,198,103,1,0.2,780,237,118,182
49,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,71,301,226,75,1,1,750,177,119,181
43,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,54,301,118,183,1,1,483,166,120,180
14,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,58,301,103,198,1,1,680,217,120,180
27,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,49,301,63,238,1,0.25,446,167,121,179
34,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,103,301,204,97,0.3333333333,1,808,209,121,179
39,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,85,301,224,77,1,1,1068,301,121,179
10,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,50,301,38,263,1,1,511,154,122,178
55,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,59,301,65,236,1,1,617,168,122,178
94,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,47,301,272,29,1,1,435,146,123,177
13,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,78,301,92,209,1,0.5,466,153,123,177
89,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,54,301,269,32,1,1,403,154,123,177
5,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,80,301,238,63,1,0.25,543,166,123,177
98,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,39,301,101,200,0.3333333333,1,287,146,124,176
52,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,47,301,159,142,0.5,0.5,433,160,124,176
85,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,76,301,268,33,1,0.25,1094,253,124,176
2,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,53,301,264,37,0.5,0.5,418,151,125,175
1,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,67,301,25,276,0.5,1,569,174,125,175
31,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,49,301,193,108,1,1,276,143,126,174
91,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,49,301,98,203,1,1,338,143,127,173
68,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,77,301,120,181,0.5,1,600,177,127,173
9,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,64,301,55,246,0.2,1,405,146,128,172
88,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,60,301,244,57,0.5,1,573,178,128,172
26,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,48,301,85,216,1,0.5,879,240,128,172
50,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,76,301,63,238,1,1,699,250,128,172
86,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,50,301,260,41,1,1,587,214,129,171
12,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,67,301,266,35,0.5,0.5,596,217,129,171
38,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,60,301,242,59,0.3333333333,1,350,153,130,170
56,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,73,301,153,148,0.25,1,489,162,130,170
51,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,58,301,65,236,1,0.2,332,157,131,169
8,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,46,301,221,80,0.3333333333,0.2,398,189,131,169
32,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,48,301,125,176,0.5,1,336,175,132,168
79,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,75,301,240,61,1,1,704,261,132,168
44,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,45,301,261,40,1,1,390,189,133,167
48,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,54,301,168,133,1,0.25,249,144,134,166
46,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,65,301,260,41,0.5,1,435,166,134,166
24,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,45,301,101,200,1,0.25,327,164,135,165
81,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,43,301,106,195,1,1,483,176,135,165
82,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,45,301,95,206,1,0.3333333333,377,190,135,165
21,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,55,301,20,281,0.5,0.5,707,206,135,165
73,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,48,301,268,33,1,1,690,207,135,165
16,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,69,301,13,288,1,1,704,215,135,165
72,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,64,301,129,172,0.0714285714,0.05,472,181,136,164
33,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,61,301,132,169,1,1,524,185,136,164
59,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,64,301,87,214,1,0.0769230769,562,207,136,164
29,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,69,301,146,155,1,1,366,159,137,163
70,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,43,301,201,100,0.5,1,273,164,137,163
28,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,49,301,83,218,0.5,1,314,175,137,163
20,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,45,301,138,163,0.1428571429,0.25,463,190,137,163
78,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,70,301,240,61,1,1,570,223,137,163
54,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,51,301,70,231,1,1,292,159,138,162
6,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,65,301,111,190,1,1,422,163,138,162
92,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,72,301,90,211,0.5,1,385,168,138,162
74,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,44,301,243,58,0.3333333333,1,322,181,138,162
57,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,44,301,257,44,1,1,308,183,138,162
61,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,67,301,289,12,1,1,411,204,138,162
66,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,65,301,66,235,1,1,438,211,138,162
75,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,73,301,100,201,1,1,698,225,138,162
87,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,45,301,64,237,0.3333333333,0.0833333333,435,184,139,161
64,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,47,301,86,215,1,1,366,189,139,161
25,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,44,301,64,237,1,0.125,454,203,139,161
45,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,70,301,78,223,1,1,396,215,139,161
65,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,46,301,177,124,0.25,0.5,296,153,140,160
96,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,59,301,125,176,1,1,341,162,140,160
3,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,51,301,82,219,1,0.25,238,171,141,159
40,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,37,301,226,75,0.5,1,361,182,141,159
4,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,67,301,246,55,1,0.3333333333,446,203,141,159
23,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,42,301,212,89,0.1666666667,1,339,168,142,158
42,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,47,301,39,262,1,1,663,208,142,158
84,true,"""lazyP-skepticNotP""",false,50,"""small-world""",300,95,51,301,230,71,1,1,282,165,143,157
