BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment2b_distrust300sw_lazyproportion50_skepticskeptic,,,,,,,,,,,,,,,,,
08/19/2016 11:18:40:321 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
34,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,121,301,133,168,1,0.1428571429,2207,326,96,204
41,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,79,301,171,130,1,1,972,229,99,201
35,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,88,301,152,149,0.3333333333,1,1352,237,99,201
16,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,122,301,184,117,1,1,3093,582,100,200
100,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,101,301,160,141,1,0.5,949,212,101,199
61,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,107,301,145,156,1,1,1740,369,101,199
30,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,105,301,90,211,1,1,1081,190,102,198
8,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,96,301,253,48,0.5,1,809,184,107,193
97,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,110,301,48,253,1,1,825,202,108,192
92,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,77,301,237,64,1,1,1170,323,108,192
74,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,144,301,169,132,0.5,1,1063,196,109,191
81,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,99,301,205,96,1,1,730,187,110,190
28,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,68,301,95,206,1,1,812,195,110,190
79,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,132,301,116,185,1,1,1061,324,110,190
29,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,109,301,112,189,1,1,734,253,112,188
69,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,101,301,220,81,1,1,812,179,113,187
33,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,85,301,132,169,0.5,0.0666666667,1342,251,113,187
11,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,127,301,224,77,1,0.3333333333,892,279,113,187
47,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,59,301,230,71,0.5,1,519,188,114,186
1,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,119,301,164,137,0.1,1,1146,235,114,186
17,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,98,301,175,126,0.5,0.5,899,195,115,185
21,true,"""skepticP-skepticNotP""",false,50,"""small-world""",300,95,112,301,120,181,0.5,0.1428571429,1168,225,115,185
