BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment3_distrust100sw_lazy,,,,,,,,,,,,,,,,,
08/19/2016 14:10:23:674 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
1,true,"""random""",false,100,"""small-world""",300,95,65,301,184,117,1,0.5,290,145,128,172
4,true,"""random""",false,100,"""small-world""",300,95,57,301,283,18,1,0.0833333333,901,0,0,300
6,true,"""random""",false,100,"""small-world""",300,95,56,301,277,24,1,0.5,553,0,0,300
3,true,"""random""",false,100,"""small-world""",300,95,48,301,70,231,0.25,0.5,755,0,0,300
2,true,"""random""",false,100,"""small-world""",300,95,55,301,60,241,1,1,457,0,0,300
8,true,"""random""",false,100,"""small-world""",300,95,46,301,146,155,1,1,393,0,0,300
5,true,"""random""",false,100,"""small-world""",300,95,53,301,288,13,0.1111111111,1,461,192,137,163
10,true,"""random""",false,100,"""small-world""",300,95,49,301,301,0,0.2,1,343,0,0,300
11,true,"""random""",false,100,"""small-world""",300,95,61,301,14,287,1,0.25,375,178,130,170
7,true,"""random""",false,100,"""small-world""",300,95,134,301,97,204,0.25,0.5,1252,0,0,300
9,true,"""random""",false,100,"""small-world""",300,95,70,301,124,177,1,1,763,0,0,300
12,true,"""random""",false,100,"""small-world""",300,95,35,301,239,62,1,1,447,0,0,300
16,true,"""random""",false,100,"""small-world""",300,95,43,301,38,263,0.5,1,467,0,0,300
14,true,"""random""",false,100,"""small-world""",300,95,57,301,185,116,0.5,1,671,0,0,300
17,true,"""random""",false,100,"""small-world""",300,95,42,301,179,122,1,1,421,0,0,300
13,true,"""random""",false,100,"""small-world""",300,95,75,301,173,128,0.3333333333,0.5,426,151,126,174
19,true,"""random""",false,100,"""small-world""",300,95,36,301,286,15,0.1666666667,1,459,0,0,300
18,true,"""random""",false,100,"""small-world""",300,95,53,301,15,286,0.3333333333,1,505,0,0,300
21,true,"""random""",false,100,"""small-world""",300,95,53,301,84,217,1,0.1666666667,435,0,0,300
23,true,"""random""",false,100,"""small-world""",300,95,40,301,252,49,0.5,1,633,0,0,300
22,true,"""random""",false,100,"""small-world""",300,95,70,301,238,63,1,1,669,0,0,300
20,true,"""random""",false,100,"""small-world""",300,95,72,301,136,165,1,0.1111111111,320,149,135,165
24,true,"""random""",false,100,"""small-world""",300,95,50,301,79,222,1,1,529,0,0,300
25,true,"""random""",false,100,"""small-world""",300,95,68,301,83,218,0.5,1,615,0,0,300
15,true,"""random""",false,100,"""small-world""",300,95,108,301,144,157,0.5,1,977,0,0,300
26,true,"""random""",false,100,"""small-world""",300,95,66,301,276,25,1,1,377,146,127,173
27,true,"""random""",false,100,"""small-world""",300,95,65,301,231,70,1,1,535,0,0,300
28,true,"""random""",false,100,"""small-world""",300,95,43,301,22,279,1,1,521,0,0,300
30,true,"""random""",false,100,"""small-world""",300,95,63,301,11,290,0.1666666667,1,595,0,0,300
31,true,"""random""",false,100,"""small-world""",300,95,53,301,301,0,0.0833333333,1,166,139,138,162
33,true,"""random""",false,100,"""small-world""",300,95,60,301,82,219,1,0.5,957,0,0,300
35,true,"""random""",false,100,"""small-world""",300,95,42,301,239,62,1,1,507,0,0,300
32,true,"""random""",false,100,"""small-world""",300,95,68,301,231,70,1,1,1159,0,0,300
36,true,"""random""",false,100,"""small-world""",300,95,39,301,84,217,0.5,0.5,393,0,0,300
34,true,"""random""",false,100,"""small-world""",300,95,72,301,203,98,0.3333333333,0.5,681,192,115,185
29,true,"""random""",false,100,"""small-world""",300,95,82,301,148,153,0.3333333333,1,719,0,0,300
38,true,"""random""",false,100,"""small-world""",300,95,62,301,149,152,1,1,709,0,0,300
37,true,"""random""",false,100,"""small-world""",300,95,53,301,263,38,1,1,731,0,0,300
39,true,"""random""",false,100,"""small-world""",300,95,113,301,118,183,1,0.5,1149,216,114,186
41,true,"""random""",false,100,"""small-world""",300,95,43,301,215,86,1,1,385,0,0,300
43,true,"""random""",false,100,"""small-world""",300,95,49,301,301,0,1,0.1666666667,165,138,138,162
42,true,"""random""",false,100,"""small-world""",300,95,44,301,254,47,1,1,455,0,0,300
44,true,"""random""",false,100,"""small-world""",300,95,46,301,268,33,1,1,493,0,0,300
45,true,"""random""",false,100,"""small-world""",300,95,82,301,184,117,1,0.0303030303,749,168,115,185
47,true,"""random""",false,100,"""small-world""",300,95,41,301,234,67,0.5,1,529,0,0,300
40,true,"""random""",false,100,"""small-world""",300,95,140,301,191,110,1,1,939,0,0,300
48,true,"""random""",false,100,"""small-world""",300,95,61,301,296,5,0.5,0.25,452,193,134,166
46,true,"""random""",false,100,"""small-world""",300,95,70,301,243,58,0.3333333333,1,739,0,0,300
49,true,"""random""",false,100,"""small-world""",300,95,59,301,35,266,1,0.5,761,0,0,300
52,true,"""random""",false,100,"""small-world""",300,95,54,301,164,137,1,1,483,0,0,300
51,true,"""random""",false,100,"""small-world""",300,95,106,301,114,187,1,1,920,181,119,181
53,true,"""random""",false,100,"""small-world""",300,95,63,301,270,31,1,1,867,0,0,300
50,true,"""random""",false,100,"""small-world""",300,95,92,301,57,244,1,0.3333333333,2305,0,0,300
54,true,"""random""",false,100,"""small-world""",300,95,45,301,249,52,1,1,721,0,0,300
55,true,"""random""",false,100,"""small-world""",300,95,88,301,105,196,1,1,439,154,127,173
58,true,"""random""",false,100,"""small-world""",300,95,55,301,132,169,1,1,511,0,0,300
59,true,"""random""",false,100,"""small-world""",300,95,83,301,170,131,1,1,563,162,127,173
60,true,"""random""",false,100,"""small-world""",300,95,58,301,196,105,1,0.5,973,0,0,300
