BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment3_distrust10sw_lazy200,,,,,,,,,,,,,,,,,
08/19/2016 14:20:54:243 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
2,true,"""random""",false,10,"""small-world""",200,95,37,201,142,59,0.0769230769,1,103,190,160,40
4,true,"""random""",false,10,"""small-world""",200,95,42,201,109,92,0.25,1,87,194,166,34
5,true,"""random""",false,10,"""small-world""",200,95,48,201,43,158,1,1,158,207,157,43
6,true,"""random""",false,10,"""small-world""",200,95,45,201,95,106,1,1,212,233,158,42
3,true,"""random""",false,10,"""small-world""",200,95,65,201,179,22,0.3333333333,1,442,252,138,62
7,true,"""random""",false,10,"""small-world""",200,95,67,201,151,50,1,1,290,249,150,50
8,true,"""random""",false,10,"""small-world""",200,95,50,201,98,103,0.5,1,169,226,168,32
1,true,"""random""",false,10,"""small-world""",200,95,89,301,141,160,1,1,502,153,124,176
10,true,"""random""",false,10,"""small-world""",200,95,46,201,132,69,1,1,259,222,151,49
9,true,"""random""",false,10,"""small-world""",200,95,66,201,129,72,1,0.5,662,285,139,61
11,true,"""random""",false,10,"""small-world""",200,95,46,201,196,5,1,0.5,246,235,164,36
13,true,"""random""",false,10,"""small-world""",200,95,61,201,65,136,1,1,378,265,133,67
14,true,"""random""",false,10,"""small-world""",200,95,42,201,0,201,0.5,1,98,202,172,28
15,true,"""random""",false,10,"""small-world""",200,95,37,201,143,58,0.0555555556,1,296,249,147,53
17,true,"""random""",false,10,"""small-world""",200,95,65,201,93,108,0.1111111111,1,297,232,151,49
18,true,"""random""",false,10,"""small-world""",200,95,40,201,201,0,0.0555555556,0.3333333333,150,201,168,32
12,true,"""random""",false,10,"""small-world""",200,95,84,301,176,125,1,1,393,154,131,169
20,true,"""random""",false,10,"""small-world""",200,95,41,201,132,69,0.5,1,183,218,163,37
16,true,"""random""",false,10,"""small-world""",200,95,56,201,81,120,0.5,1,484,269,140,60
19,true,"""random""",false,10,"""small-world""",200,95,46,201,201,0,0.5,1,31,172,172,28
24,true,"""random""",false,10,"""small-world""",200,95,42,201,179,22,1,1,204,223,165,35
22,true,"""random""",false,10,"""small-world""",200,95,49,201,110,91,0.5,1,132,211,163,37
23,true,"""random""",false,10,"""small-world""",200,95,63,201,164,37,1,1,295,252,148,52
25,true,"""random""",false,10,"""small-world""",200,95,48,201,78,123,0.5,1,214,193,147,53
26,true,"""random""",false,10,"""small-world""",200,95,52,201,123,78,0.5,1,356,285,148,52
27,true,"""random""",false,10,"""small-world""",200,95,67,201,75,126,1,1,539,316,130,70
30,true,"""random""",false,10,"""small-world""",200,95,42,201,119,82,1,1,171,208,155,45
29,true,"""random""",false,10,"""small-world""",200,95,47,201,158,43,0.5,1,154,195,166,34
21,true,"""random""",false,10,"""small-world""",200,95,77,301,177,124,1,1,1021,214,121,179
31,true,"""random""",false,10,"""small-world""",200,95,97,201,35,166,1,1,630,333,143,57
28,true,"""random""",false,10,"""small-world""",200,95,73,201,131,70,0.25,1,942,339,129,71
32,true,"""random""",false,10,"""small-world""",200,95,38,201,101,100,1,1,248,251,164,36
34,true,"""random""",false,10,"""small-world""",200,95,53,201,30,171,0.3333333333,1,252,245,159,41
37,true,"""random""",false,10,"""small-world""",200,95,44,201,113,88,1,1,214,235,154,46
38,true,"""random""",false,10,"""small-world""",200,95,47,201,163,38,1,1,218,221,151,49
39,true,"""random""",false,10,"""small-world""",200,95,42,201,50,151,0.5,1,120,201,154,46
35,true,"""random""",false,10,"""small-world""",200,95,79,201,90,111,0.5,1,341,220,145,55
40,true,"""random""",false,10,"""small-world""",200,95,37,201,50,151,1,1,111,192,160,40
36,true,"""random""",false,10,"""small-world""",200,95,44,201,39,162,0.3333333333,1,465,290,159,41
41,true,"""random""",false,10,"""small-world""",200,95,71,201,142,59,1,1,301,200,142,58
33,true,"""random""",false,10,"""small-world""",200,95,70,301,123,178,0.0833333333,0.5,390,149,129,171
42,true,"""random""",false,10,"""small-world""",200,95,62,201,132,69,0.3333333333,1,251,236,150,50
43,true,"""random""",false,10,"""small-world""",200,95,52,201,148,53,0.3333333333,0.2,455,278,155,45
46,true,"""random""",false,10,"""small-world""",200,95,38,201,201,0,0.5,0.0555555556,29,176,175,25
45,true,"""random""",false,10,"""small-world""",200,95,42,201,146,55,1,1,169,214,152,48
44,true,"""random""",false,10,"""small-world""",200,95,42,201,138,63,0.1666666667,1,182,205,160,40
48,true,"""random""",false,10,"""small-world""",200,95,53,201,129,72,1,0.25,204,231,153,47
51,true,"""random""",false,10,"""small-world""",200,95,41,201,85,116,1,0.5,83,198,171,29
50,true,"""random""",false,10,"""small-world""",200,95,45,201,10,191,0.5,0.5,196,227,170,30
49,true,"""random""",false,10,"""small-world""",200,95,43,201,46,155,1,0.2,93,190,158,42
52,true,"""random""",false,10,"""small-world""",200,95,50,201,184,17,0.3333333333,1,275,226,162,38
54,true,"""random""",false,10,"""small-world""",200,95,44,201,118,83,1,0.5,192,215,147,53
55,true,"""random""",false,10,"""small-world""",200,95,34,201,31,170,1,1,123,206,167,33
47,true,"""random""",false,10,"""small-world""",200,95,68,301,176,125,1,1,447,158,122,178
53,true,"""random""",false,10,"""small-world""",200,95,55,201,164,37,1,0.5,240,201,150,50
57,true,"""random""",false,10,"""small-world""",200,95,53,201,19,182,0.5,1,164,227,167,33
60,true,"""random""",false,10,"""small-world""",200,95,56,201,71,130,1,1,301,258,150,50
56,true,"""random""",false,10,"""small-world""",200,95,52,201,133,68,1,1,224,227,148,52
61,true,"""random""",false,10,"""small-world""",200,95,29,201,18,183,0.5,1,139,208,163,37
63,true,"""random""",false,10,"""small-world""",200,95,31,201,50,151,1,1,89,182,170,30
59,true,"""random""",false,10,"""small-world""",200,95,48,201,167,34,1,1,216,203,164,36
64,true,"""random""",false,10,"""small-world""",200,95,32,201,27,174,1,0.3333333333,142,211,161,39
66,true,"""random""",false,10,"""small-world""",200,95,25,201,113,88,1,1,57,186,173,27
58,true,"""random""",false,10,"""small-world""",200,95,77,301,241,60,1,1,383,150,130,170
67,true,"""random""",false,10,"""small-world""",200,95,42,201,80,121,1,1,183,222,163,37
69,true,"""random""",false,10,"""small-world""",200,95,36,201,41,160,1,0.0909090909,205,220,157,43
62,true,"""random""",false,10,"""small-world""",200,95,42,201,154,47,1,1,139,208,160,40
70,true,"""random""",false,10,"""small-world""",200,95,38,201,15,186,1,0.3333333333,123,212,168,32
72,true,"""random""",false,10,"""small-world""",200,95,39,201,21,180,0.5,1,127,210,167,33
73,true,"""random""",false,10,"""small-world""",200,95,49,201,71,130,1,1,180,227,162,38
74,true,"""random""",false,10,"""small-world""",200,95,34,201,141,60,1,1,126,211,165,35
68,true,"""random""",false,10,"""small-world""",200,95,47,301,248,53,0.5,1,582,195,126,174
65,true,"""random""",false,10,"""small-world""",200,95,93,201,137,64,1,1,1115,430,112,88
75,true,"""random""",false,10,"""small-world""",200,95,48,201,154,47,1,0.5,152,211,166,34
71,true,"""random""",false,10,"""small-world""",200,95,65,201,167,34,1,0.3333333333,365,256,142,58
77,true,"""random""",false,10,"""small-world""",200,95,49,201,173,28,1,1,290,215,148,52
79,true,"""random""",false,10,"""small-world""",200,95,48,201,48,153,0.5,0.3333333333,197,218,152,48
80,true,"""random""",false,10,"""small-world""",200,95,45,201,26,175,0.5,1,122,189,157,43
81,true,"""random""",false,10,"""small-world""",200,95,44,201,185,16,1,1,207,218,149,51
78,true,"""random""",false,10,"""small-world""",200,95,54,201,168,33,1,1,528,317,135,65
84,true,"""random""",false,10,"""small-world""",200,95,36,201,41,160,1,0.5,103,188,165,35
76,true,"""random""",false,10,"""small-world""",200,95,97,301,120,181,1,0.3333333333,2324,369,99,201
83,true,"""random""",false,10,"""small-world""",200,95,76,201,19,182,1,1,356,263,150,50
82,true,"""random""",false,10,"""small-world""",200,95,70,201,85,116,1,1,511,274,145,55
85,true,"""random""",false,10,"""small-world""",200,95,36,201,167,34,0.25,0.25,180,215,164,36
89,true,"""random""",false,10,"""small-world""",200,95,47,201,12,189,1,1,309,222,167,33
87,true,"""random""",false,10,"""small-world""",200,95,46,201,131,70,0.5,0.0588235294,218,225,148,52
88,true,"""random""",false,10,"""small-world""",200,95,63,201,135,66,0.5,1,293,206,142,58
90,true,"""random""",false,10,"""small-world""",200,95,48,201,133,68,1,1,281,232,152,48
93,true,"""random""",false,10,"""small-world""",200,95,46,201,61,140,1,0.5,115,204,162,38
91,true,"""random""",false,10,"""small-world""",200,95,61,201,195,6,1,1,386,249,153,47
86,true,"""random""",false,10,"""small-world""",200,95,53,301,178,123,1,1,366,157,125,175
94,true,"""random""",false,10,"""small-world""",200,95,30,201,52,149,1,0.5,190,207,161,39
97,true,"""random""",false,10,"""small-world""",200,95,44,201,110,91,1,1,99,198,158,42
92,true,"""random""",false,10,"""small-world""",200,95,55,201,29,172,0.5,1,265,214,156,44
96,true,"""random""",false,10,"""small-world""",200,95,69,301,211,90,0.5,1,364,147,134,166
95,true,"""random""",false,10,"""small-world""",200,95,80,201,58,143,0.5,1,340,267,140,60
98,true,"""random""",false,10,"""small-world""",200,95,53,201,60,141,1,0.5,171,218,162,38
99,true,"""random""",false,10,"""small-world""",200,95,61,201,132,69,0.0769230769,1,291,226,147,53
100,true,"""random""",false,10,"""small-world""",200,95,74,301,71,230,1,1,430,159,132,168
