"BehaviorSpace results (NetLogo 5.3)"
"untrust01.nlogo"
"experiment3_distrust10sw_lazy50"
"08/19/2016 14:28:00:836 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","sum [costsTrust] of turtles","sum [costsDisTrust] of turtles","count links with [color = yellow]","count links with [color = green]"
"3","true","""random""","false","10","""small-world""","50","95","16","51","2","49","1","1","53","52","40","10"
"5","true","""random""","false","10","""small-world""","50","95","26","51","33","18","0.1","1","88","63","38","12"
"4","true","""random""","false","10","""small-world""","50","95","15","51","19","32","0.3333333333333333","0.5","35","57","43","7"
"6","true","""random""","false","10","""small-world""","50","95","17","51","36","15","1","1","37","56","43","7"
"7","true","""random""","false","10","""small-world""","50","95","15","51","44","7","1","1","67","64","35","15"
"8","true","""random""","false","10","""small-world""","50","95","22","51","45","6","1","1","64","65","41","9"
"2","true","""random""","false","10","""small-world""","50","95","21","51","42","9","1","0.5","59","46","34","16"
"11","true","""random""","false","10","""small-world""","50","95","13","51","26","25","0.5","1","22","43","39","11"
"9","true","""random""","false","10","""small-world""","50","95","20","51","12","39","1","1","23","56","46","4"
"10","true","""random""","false","10","""small-world""","50","95","22","51","11","40","0.3333333333333333","1","71","60","36","14"
"12","true","""random""","false","10","""small-world""","50","95","20","51","14","37","1","1","46","55","36","14"
"13","true","""random""","false","10","""small-world""","50","95","22","51","21","30","1","1","79","68","39","11"
"14","true","""random""","false","10","""small-world""","50","95","22","51","21","30","1","1","72","49","37","13"
"16","true","""random""","false","10","""small-world""","50","95","16","51","35","16","1","1","56","65","41","9"
"15","true","""random""","false","10","""small-world""","50","95","40","51","14","37","1","0.125","173","72","29","21"
"19","true","""random""","false","10","""small-world""","50","95","18","51","11","40","1","1","41","44","36","14"
"20","true","""random""","false","10","""small-world""","50","95","16","51","17","34","0.5","1","37","46","38","12"
"18","true","""random""","false","10","""small-world""","50","95","14","51","49","2","1","1","35","52","39","11"
"21","true","""random""","false","10","""small-world""","50","95","21","51","29","22","1","1","131","62","23","27"
"17","true","""random""","false","10","""small-world""","50","95","17","51","16","35","1","1","38","49","37","13"
"23","true","""random""","false","10","""small-world""","50","95","17","51","23","28","1","1","52","51","31","19"
"22","true","""random""","false","10","""small-world""","50","95","17","51","17","34","1","0.5","33","54","41","9"
"25","true","""random""","false","10","""small-world""","50","95","21","51","35","16","1","1","52","49","38","12"
"27","true","""random""","false","10","""small-world""","50","95","36","51","42","9","1","1","111","66","31","19"
"28","true","""random""","false","10","""small-world""","50","95","15","51","51","0","0.5","1","20","39","37","13"
"24","true","""random""","false","10","""small-world""","50","95","22","51","18","33","1","1","58","49","41","9"
"26","true","""random""","false","10","""small-world""","50","95","15","51","51","0","1","0.5","8","47","46","4"
"29","true","""random""","false","10","""small-world""","50","95","23","51","51","0","1","1","32","41","35","15"
"32","true","""random""","false","10","""small-world""","50","95","14","51","16","35","1","1","22","45","38","12"
"31","true","""random""","false","10","""small-world""","50","95","14","51","15","36","1","1","78","73","41","9"
"33","true","""random""","false","10","""small-world""","50","95","39","51","15","36","0.25","1","207","84","28","22"
