"BehaviorSpace results (NetLogo 5.3)"
"untrust01.nlogo"
"experiment3_distrust200sw_balanced"
"08/19/2016 14:33:52:401 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","sum [costsTrust] of turtles","sum [costsDisTrust] of turtles","count links with [color = yellow]","count links with [color = green]"
"2","true","""random""","false","50","""small-world""","200","95","35","201","178","23","0.5","1","307","115","81","119"
"3","true","""random""","false","50","""small-world""","200","95","67","201","96","105","1","1","478","125","84","116"
"5","true","""random""","false","50","""small-world""","200","95","49","201","0","201","1","1","136","99","91","109"
"1","true","""random""","false","50","""small-world""","200","95","62","301","122","179","1","0.5","312","145","130","170"
"4","true","""random""","false","50","""small-world""","200","95","57","201","164","37","1","1","249","142","96","104"
"9","true","""random""","false","50","""small-world""","200","95","50","201","115","86","0.3333333333333333","1","284","125","91","109"
"7","true","""random""","false","50","""small-world""","200","95","33","201","11","190","1","1","212","99","90","110"
"8","true","""random""","false","50","""small-world""","200","95","76","301","124","177","1","1","399","148","124","176"
"11","true","""random""","false","50","""small-world""","200","95","40","201","21","180","1","1","419","140","79","121"
"10","true","""random""","false","50","""small-world""","200","95","57","201","92","109","1","1","290","137","97","103"
"13","true","""random""","false","50","""small-world""","200","95","43","201","184","17","0.5","1","324","117","84","116"
"6","true","""random""","false","50","""small-world""","200","95","174","201","76","125","1","0.3333333333333333","1673","240","64","136"
"14","true","""random""","false","50","""small-world""","200","95","37","201","140","61","1","1","182","111","98","102"
"12","true","""random""","false","50","""small-world""","200","95","52","301","33","268","1","1","421","142","131","169"
"17","true","""random""","false","50","""small-world""","200","95","46","201","195","6","0.125","1","333","126","90","110"
"15","true","""random""","false","50","""small-world""","200","95","37","201","117","84","0.5","1","233","116","80","120"
"19","true","""random""","false","50","""small-world""","200","95","57","201","140","61","1","1","414","169","79","121"
"16","true","""random""","false","50","""small-world""","200","95","71","201","142","59","1","0.25","656","185","88","112"
"20","true","""random""","false","50","""small-world""","200","95","35","201","168","33","1","0.058823529411764705","208","99","80","120"
"21","true","""random""","false","50","""small-world""","200","95","50","201","150","51","1","1","298","145","91","109"
"22","true","""random""","false","50","""small-world""","200","95","83","201","195","6","0.5","1","642","149","73","127"
"23","true","""random""","false","50","""small-world""","200","95","50","201","139","62","1","1","515","160","73","127"
"18","true","""random""","false","50","""small-world""","200","95","118","301","158","143","1","1","1174","267","115","185"
"24","true","""random""","false","50","""small-world""","200","95","38","201","68","133","1","0.16666666666666666","278","121","87","113"
"26","true","""random""","false","50","""small-world""","200","95","29","201","192","9","1","0.2","270","121","78","122"
"25","true","""random""","false","50","""small-world""","200","95","77","201","141","60","1","1","874","149","74","126"
"30","true","""random""","false","50","""small-world""","200","95","61","201","79","122","1","0.5","312","119","85","115"
"28","true","""random""","false","50","""small-world""","200","95","42","201","85","116","1","0.25","286","123","93","107"
"29","true","""random""","false","50","""small-world""","200","95","37","201","40","161","1","1","189","114","89","111"
"31","true","""random""","false","50","""small-world""","200","95","68","201","40","161","1","1","396","117","84","116"
"32","true","""random""","false","50","""small-world""","200","95","51","201","130","71","1","1","258","137","86","114"
"34","true","""random""","false","50","""small-world""","200","95","68","201","188","13","0.5","0.1111111111111111","334","161","93","107"
"33","true","""random""","false","50","""small-world""","200","95","37","201","125","76","1","1","223","110","83","117"
"35","true","""random""","false","50","""small-world""","200","95","44","201","184","17","0.5","0.25","433","126","89","111"
"36","true","""random""","false","50","""small-world""","200","95","73","201","38","163","1","0.3333333333333333","537","140","80","120"
"37","true","""random""","false","50","""small-world""","200","95","32","201","149","52","1","0.5","190","103","86","114"
"27","true","""random""","false","50","""small-world""","200","95","52","301","84","217","1","1","475","166","125","175"
"40","true","""random""","false","50","""small-world""","200","95","44","201","0","201","1","1","165","100","91","109"
"38","true","""random""","false","50","""small-world""","200","95","49","201","86","115","1","1","214","133","95","105"
"39","true","""random""","false","50","""small-world""","200","95","51","201","142","59","1","0.25","456","125","82","118"
"43","true","""random""","false","50","""small-world""","200","95","38","201","49","152","1","1","222","131","95","105"
"42","true","""random""","false","50","""small-world""","200","95","35","201","138","63","1","1","200","117","85","115"
"45","true","""random""","false","50","""small-world""","200","95","59","201","129","72","1","1","480","175","76","124"
"47","true","""random""","false","50","""small-world""","200","95","32","201","41","160","1","1","234","127","96","104"
"41","true","""random""","false","50","""small-world""","200","95","86","301","210","91","1","1","499","162","131","169"
"46","true","""random""","false","50","""small-world""","200","95","48","201","61","140","1","0.3333333333333333","188","115","83","117"
"48","true","""random""","false","50","""small-world""","200","95","58","201","62","139","0.5","1","311","166","94","106"
"51","true","""random""","false","50","""small-world""","200","95","48","201","78","123","1","1","249","116","88","112"
"50","true","""random""","false","50","""small-world""","200","95","51","201","175","26","1","0.5","449","138","73","127"
"44","true","""random""","false","50","""small-world""","200","95","152","201","93","108","1","0.3333333333333333","1501","222","73","127"
"52","true","""random""","false","50","""small-world""","200","95","65","201","92","109","0.3333333333333333","1","526","197","81","119"
"55","true","""random""","false","50","""small-world""","200","95","42","201","155","46","0.25","0.3333333333333333","271","118","93","107"
"56","true","""random""","false","50","""small-world""","200","95","61","201","116","85","1","1","221","126","91","109"
"54","true","""random""","false","50","""small-world""","200","95","75","201","105","96","0.3333333333333333","0.14285714285714285","1100","191","70","130"
"57","true","""random""","false","50","""small-world""","200","95","32","201","201","0","0.5","1","109","100","100","100"
"53","true","""random""","false","50","""small-world""","200","95","44","201","24","177","1","0.5","333","126","85","115"
"59","true","""random""","false","50","""small-world""","200","95","44","201","45","156","0.3333333333333333","1","241","108","88","112"
"49","true","""random""","false","50","""small-world""","200","95","57","301","264","37","1","1","464","183","121","179"
"58","true","""random""","false","50","""small-world""","200","95","56","201","121","80","0.3333333333333333","1","459","134","79","121"
"61","true","""random""","false","50","""small-world""","200","95","40","201","166","35","1","1","247","124","94","106"
"64","true","""random""","false","50","""small-world""","200","95","52","201","124","77","1","1","427","128","85","115"
"65","true","""random""","false","50","""small-world""","200","95","51","201","152","49","1","0.2","511","142","94","106"
"60","true","""random""","false","50","""small-world""","200","95","56","201","62","139","0.5","0.5","464","145","84","116"
"66","true","""random""","false","50","""small-world""","200","95","38","201","185","16","1","0.5","501","168","90","110"
"68","true","""random""","false","50","""small-world""","200","95","60","201","48","153","0.5","1","484","173","89","111"
"67","true","""random""","false","50","""small-world""","200","95","42","201","176","25","1","0.5","449","102","84","116"
"69","true","""random""","false","50","""small-world""","200","95","39","201","165","36","1","1","277","114","89","111"
"63","true","""random""","false","50","""small-world""","200","95","101","201","51","150","1","1","1124","197","69","131"
"70","true","""random""","false","50","""small-world""","200","95","45","201","68","133","0.16666666666666666","1","331","148","81","119"
"71","true","""random""","false","50","""small-world""","200","95","37","201","78","123","1","0.2","133","106","99","101"
"73","true","""random""","false","50","""small-world""","200","95","33","201","138","63","0.25","1","161","102","85","115"
"74","true","""random""","false","50","""small-world""","200","95","53","201","41","160","1","0.5","340","131","87","113"
"76","true","""random""","false","50","""small-world""","200","95","48","201","86","115","1","1","242","115","89","111"
"75","true","""random""","false","50","""small-world""","200","95","31","201","68","133","1","0.5","168","105","87","113"
"72","true","""random""","false","50","""small-world""","200","95","66","201","129","72","1","0.3333333333333333","600","127","73","127"
"62","true","""random""","false","50","""small-world""","200","95","70","301","104","197","0.5","1","428","157","126","174"
"77","true","""random""","false","50","""small-world""","200","95","60","201","169","32","1","1","381","124","89","111"
"78","true","""random""","false","50","""small-world""","200","95","61","201","187","14","1","1","533","110","81","119"
"81","true","""random""","false","50","""small-world""","200","95","47","201","108","93","0.3333333333333333","1","259","134","90","110"
"83","true","""random""","false","50","""small-world""","200","95","42","201","0","201","0.5","1","114","103","101","99"
"82","true","""random""","false","50","""small-world""","200","95","59","201","16","185","1","1","402","119","82","118"
"84","true","""random""","false","50","""small-world""","200","95","49","201","118","83","1","1","235","118","86","114"
"86","true","""random""","false","50","""small-world""","200","95","39","201","153","48","0.5","1","268","119","92","108"
"85","true","""random""","false","50","""small-world""","200","95","35","201","22","179","1","1","271","110","84","116"
"87","true","""random""","false","50","""small-world""","200","95","45","201","161","40","1","1","446","157","98","102"
"88","true","""random""","false","50","""small-world""","200","95","40","201","114","87","1","0.5","338","135","77","123"
"89","true","""random""","false","50","""small-world""","200","95","41","201","43","158","0.5","1","354","145","91","109"
"90","true","""random""","false","50","""small-world""","200","95","28","201","22","179","0.125","1","219","96","81","119"
"91","true","""random""","false","50","""small-world""","200","95","43","201","195","6","0.125","1","388","155","94","106"
"92","true","""random""","false","50","""small-world""","200","95","40","201","167","34","1","1","334","125","83","117"
"93","true","""random""","false","50","""small-world""","200","95","53","201","128","73","1","1","384","141","78","122"
"95","true","""random""","false","50","""small-world""","200","95","57","201","97","104","1","0.3333333333333333","343","152","90","110"
"79","true","""random""","false","50","""small-world""","200","95","78","201","86","115","1","1","489","122","79","121"
"94","true","""random""","false","50","""small-world""","200","95","32","201","98","103","0.1","1","337","118","76","124"
"96","true","""random""","false","50","""small-world""","200","95","34","201","83","118","1","1","165","120","98","102"
"98","true","""random""","false","50","""small-world""","200","95","54","201","183","18","0.5","0.125","396","129","76","124"
"99","true","""random""","false","50","""small-world""","200","95","45","201","171","30","0.0625","0.3333333333333333","329","124","91","109"
"80","true","""random""","false","50","""small-world""","200","95","83","301","165","136","1","1","670","167","109","191"
"100","true","""random""","false","50","""small-world""","200","95","43","201","135","66","1","1","464","145","79","121"
"97","true","""random""","false","50","""small-world""","200","95","98","201","52","149","1","1","1032","225","77","123"
