"BehaviorSpace results (NetLogo 5.3)"
"untrust01.nlogo"
"experiment3_distrust200sw_sceptic"
"08/19/2016 14:41:21:793 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","sum [costsTrust] of turtles","sum [costsDisTrust] of turtles","count links with [color = yellow]","count links with [color = green]"
"3","true","""random""","false","90","""small-world""","200","95","60","201","0","201","1","1","546","38","21","179"
"4","true","""random""","false","90","""small-world""","200","95","40","201","140","61","0.16666666666666666","0.5","289","25","19","181"
"5","true","""random""","false","90","""small-world""","200","95","52","201","19","182","1","1","345","38","24","176"
"1","true","""random""","false","90","""small-world""","200","95","110","301","133","168","0.5","0.16666666666666666","724","179","114","186"
"2","true","""random""","false","90","""small-world""","200","95","51","201","23","178","0.5","1","391","24","19","181"
"7","true","""random""","false","90","""small-world""","200","95","55","201","153","48","0.25","1","363","42","21","179"
"10","true","""random""","false","90","""small-world""","200","95","55","201","145","56","1","1","562","35","15","185"
"6","true","""random""","false","90","""small-world""","200","95","72","201","74","127","1","1","922","27","17","183"
"11","true","""random""","false","90","""small-world""","200","95","41","201","164","37","0.25","1","316","21","16","184"
"8","true","""random""","false","90","""small-world""","200","95","95","201","155","46","0.25","1","644","25","19","181"
"13","true","""random""","false","90","""small-world""","200","95","46","201","26","175","1","1","407","40","23","177"
"12","true","""random""","false","90","""small-world""","200","95","63","201","99","102","0.5","0.5","519","24","16","184"
"15","true","""random""","false","90","""small-world""","200","95","44","201","144","57","1","0.5","436","35","21","179"
"9","true","""random""","false","90","""small-world""","200","95","97","301","136","165","1","1","1382","249","103","197"
"14","true","""random""","false","90","""small-world""","200","95","58","201","138","63","1","0.5","400","21","17","183"
"17","true","""random""","false","90","""small-world""","200","95","51","201","172","29","0.16666666666666666","0.3333333333333333","538","45","19","181"
"16","true","""random""","false","90","""small-world""","200","95","77","201","75","126","1","1","1128","49","11","189"
"20","true","""random""","false","90","""small-world""","200","95","50","201","201","0","1","0.5","183","20","20","180"
"19","true","""random""","false","90","""small-world""","200","95","109","201","147","54","1","1","937","42","15","185"
"22","true","""random""","false","90","""small-world""","200","95","48","201","180","21","1","1","659","26","16","184"
"18","true","""random""","false","90","""small-world""","200","95","69","301","263","38","1","1","506","161","124","176"
"21","true","""random""","false","90","""small-world""","200","95","63","201","129","72","1","0.3333333333333333","684","27","15","185"
"24","true","""random""","false","90","""small-world""","200","95","35","201","185","16","0.16666666666666666","1","318","29","19","181"
"23","true","""random""","false","90","""small-world""","200","95","50","201","93","108","1","1","352","25","19","181"
"27","true","""random""","false","90","""small-world""","200","95","39","201","32","169","1","1","313","36","22","178"
