BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experiment3_distrust30sw_balanced,,,,,,,,,,,,,,,,,
08/19/2016 14:38:12:922 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
2,true,"""random""",false,50,"""small-world""",30,95,31,31,15,16,1,1,127,40,11,19
5,true,"""random""",false,50,"""small-world""",30,95,28,31,13,18,1,1,164,53,12,18
4,true,"""random""",false,50,"""small-world""",30,95,21,31,21,10,1,1,61,26,11,19
7,true,"""random""",false,50,"""small-world""",30,95,12,31,10,21,1,1,28,17,12,18
3,true,"""random""",false,50,"""small-world""",30,95,11,31,31,0,1,0.0909090909,19,16,15,15
9,true,"""random""",false,50,"""small-world""",30,95,12,31,19,12,1,1,30,15,14,16
6,true,"""random""",false,50,"""small-world""",30,95,21,31,19,12,1,1,69,24,15,15
11,true,"""random""",false,50,"""small-world""",30,95,22,31,8,23,1,1,80,35,16,14
12,true,"""random""",false,50,"""small-world""",30,95,21,31,10,21,1,1,77,36,17,13
10,true,"""random""",false,50,"""small-world""",30,95,40,31,3,28,1,1,199,38,11,19
8,true,"""random""",false,50,"""small-world""",30,95,12,31,24,7,1,1,66,19,9,21
13,true,"""random""",false,50,"""small-world""",30,95,16,31,26,5,0.3333333333,1,45,20,15,15
16,true,"""random""",false,50,"""small-world""",30,95,17,31,2,29,1,0.5,44,33,18,12
17,true,"""random""",false,50,"""small-world""",30,95,22,31,24,7,0.5,1,84,31,16,14
18,true,"""random""",false,50,"""small-world""",30,95,16,31,16,15,1,1,52,27,14,16
14,true,"""random""",false,50,"""small-world""",30,95,18,31,19,12,1,0.2,64,17,11,19
19,true,"""random""",false,50,"""small-world""",30,95,17,31,19,12,0.2,1,48,23,14,16
15,true,"""random""",false,50,"""small-world""",30,95,23,31,13,18,1,0.25,72,31,10,20
21,true,"""random""",false,50,"""small-world""",30,95,36,31,12,19,1,0.5,151,46,11,19
23,true,"""random""",false,50,"""small-world""",30,95,26,31,19,12,1,1,85,36,16,14
22,true,"""random""",false,50,"""small-world""",30,95,27,31,7,24,1,1,120,41,8,22
20,true,"""random""",false,50,"""small-world""",30,95,23,31,25,6,1,1,99,20,5,25
25,true,"""random""",false,50,"""small-world""",30,95,16,31,7,24,1,1,81,30,14,16
24,true,"""random""",false,50,"""small-world""",30,95,24,31,20,11,1,1,81,34,14,16
28,true,"""random""",false,50,"""small-world""",30,95,16,31,0,31,1,0.1428571429,17,20,17,13
26,true,"""random""",false,50,"""small-world""",30,95,19,31,31,0,0.2,1,82,19,10,20
27,true,"""random""",false,50,"""small-world""",30,95,14,31,14,17,0.5,1,51,20,11,19
29,true,"""random""",false,50,"""small-world""",30,95,25,31,14,17,1,0.3333333333,75,34,15,15
31,true,"""random""",false,50,"""small-world""",30,95,16,31,0,31,0.3333333333,1,38,19,14,16
30,true,"""random""",false,50,"""small-world""",30,95,13,31,22,9,0.5,0.5,38,15,13,17
32,true,"""random""",false,50,"""small-world""",30,95,26,31,12,19,1,0.2,141,46,12,18
35,true,"""random""",false,50,"""small-world""",30,95,22,31,20,11,0.3333333333,0.5,108,35,10,20
34,true,"""random""",false,50,"""small-world""",30,95,28,31,14,17,1,1,107,24,9,21
37,true,"""random""",false,50,"""small-world""",30,95,12,31,9,22,1,0.5,36,15,13,17
38,true,"""random""",false,50,"""small-world""",30,95,21,31,11,20,1,1,95,30,12,18
33,true,"""random""",false,50,"""small-world""",30,95,26,31,22,9,1,0.25,131,30,7,23
40,true,"""random""",false,50,"""small-world""",30,95,13,31,9,22,0.5,1,35,18,13,17
39,true,"""random""",false,50,"""small-world""",30,95,14,31,9,22,1,1,48,19,12,18
41,true,"""random""",false,50,"""small-world""",30,95,12,31,8,23,1,1,31,22,14,16
36,true,"""random""",false,50,"""small-world""",30,95,37,31,11,20,0.5,1,142,39,12,18
43,true,"""random""",false,50,"""small-world""",30,95,13,31,7,24,1,1,43,24,11,19
42,true,"""random""",false,50,"""small-world""",30,95,20,31,26,5,0.25,1,67,14,7,23
45,true,"""random""",false,50,"""small-world""",30,95,27,31,23,8,0.5,1,118,41,10,20
44,true,"""random""",false,50,"""small-world""",30,95,19,31,13,18,1,1,48,29,14,16
47,true,"""random""",false,50,"""small-world""",30,95,14,31,7,24,1,0.25,34,21,13,17
46,true,"""random""",false,50,"""small-world""",30,95,15,31,28,3,1,1,71,16,12,18
49,true,"""random""",false,50,"""small-world""",30,95,13,31,5,26,1,0.5,38,19,12,18
50,true,"""random""",false,50,"""small-world""",30,95,16,31,5,26,1,1,59,18,12,18
51,true,"""random""",false,50,"""small-world""",30,95,26,31,18,13,1,1,121,32,8,22
48,true,"""random""",false,50,"""small-world""",30,95,26,31,23,8,0.0833333333,1,90,33,13,17
53,true,"""random""",false,50,"""small-world""",30,95,24,31,10,21,0.25,1,193,44,12,18
55,true,"""random""",false,50,"""small-world""",30,95,17,31,15,16,1,0.3333333333,49,24,11,19
56,true,"""random""",false,50,"""small-world""",30,95,15,31,15,16,1,1,60,25,10,20
54,true,"""random""",false,50,"""small-world""",30,95,24,31,21,10,1,0.3333333333,78,23,11,19
58,true,"""random""",false,50,"""small-world""",30,95,17,31,17,14,0.5,1,37,24,16,14
57,true,"""random""",false,50,"""small-world""",30,95,12,31,3,28,1,0.25,62,13,13,17
60,true,"""random""",false,50,"""small-world""",30,95,13,31,17,14,1,0.1,39,18,14,16
59,true,"""random""",false,50,"""small-world""",30,95,16,31,25,6,1,1,61,26,14,16
61,true,"""random""",false,50,"""small-world""",30,95,20,31,15,16,1,0.3333333333,93,32,10,20
52,true,"""random""",false,50,"""small-world""",30,95,18,31,11,20,1,1,92,23,9,21
63,true,"""random""",false,50,"""small-world""",30,95,24,31,12,19,0.5,1,107,34,8,22
65,true,"""random""",false,50,"""small-world""",30,95,16,31,2,29,0.5,1,75,14,13,17
66,true,"""random""",false,50,"""small-world""",30,95,17,31,9,22,0.2,0.25,112,23,12,18
62,true,"""random""",false,50,"""small-world""",30,95,17,31,8,23,0.1428571429,0.0833333333,56,29,11,19
64,true,"""random""",false,50,"""small-world""",30,95,25,31,22,9,0.5,1,162,25,4,26
68,true,"""random""",false,50,"""small-world""",30,95,22,31,24,7,1,0.1428571429,113,30,10,20
67,true,"""random""",false,50,"""small-world""",30,95,16,31,11,20,0.2,0.5,70,25,13,17
69,true,"""random""",false,50,"""small-world""",30,95,13,31,20,11,1,1,30,17,16,14
72,true,"""random""",false,50,"""small-world""",30,95,12,31,11,20,1,1,28,15,13,17
70,true,"""random""",false,50,"""small-world""",30,95,19,31,21,10,1,0.5,64,27,16,14
71,true,"""random""",false,50,"""small-world""",30,95,15,31,8,23,1,1,34,23,14,16
73,true,"""random""",false,50,"""small-world""",30,95,14,31,20,11,1,1,60,21,12,18
74,true,"""random""",false,50,"""small-world""",30,95,25,31,17,14,1,1,93,38,10,20
76,true,"""random""",false,50,"""small-world""",30,95,24,31,4,27,1,0.5,102,25,13,17
75,true,"""random""",false,50,"""small-world""",30,95,16,31,21,10,0.25,0.5,57,24,13,17
78,true,"""random""",false,50,"""small-world""",30,95,15,31,14,17,0.5,1,64,19,13,17
77,true,"""random""",false,50,"""small-world""",30,95,21,31,12,19,1,1,56,29,15,15
80,true,"""random""",false,50,"""small-world""",30,95,19,31,25,6,1,1,83,20,12,18
81,true,"""random""",false,50,"""small-world""",30,95,17,31,0,31,1,0.0833333333,15,18,17,13
82,true,"""random""",false,50,"""small-world""",30,95,16,31,19,12,1,1,51,16,13,17
83,true,"""random""",false,50,"""small-world""",30,95,21,31,25,6,1,1,76,31,14,16
84,true,"""random""",false,50,"""small-world""",30,95,31,31,15,16,1,1,204,33,9,21
79,true,"""random""",false,50,"""small-world""",30,95,19,31,9,22,1,1,112,33,11,19
87,true,"""random""",false,50,"""small-world""",30,95,15,31,17,14,1,1,62,23,9,21
85,true,"""random""",false,50,"""small-world""",30,95,21,31,21,10,0.0833333333,0.3333333333,127,42,14,16
89,true,"""random""",false,50,"""small-world""",30,95,23,31,13,18,1,0.1428571429,69,30,12,18
90,true,"""random""",false,50,"""small-world""",30,95,31,31,4,27,0.0833333333,1,139,50,13,17
88,true,"""random""",false,50,"""small-world""",30,95,21,31,10,21,0.1,1,127,34,8,22
91,true,"""random""",false,50,"""small-world""",30,95,27,31,15,16,0.1428571429,0.0833333333,142,45,13,17
