"BehaviorSpace results (NetLogo 5.3)"
"untrust01.nlogo"
"experiment3_distrust80sw_lazy"
"08/19/2016 14:09:28:902 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","sum [costsTrust] of turtles","sum [costsDisTrust] of turtles","count links with [color = yellow]","count links with [color = green]"
"1","true","""random""","false","80","""small-world""","300","95","44","301","48","253","0.1111111111111111","1","251","152","133","167"
"3","true","""random""","false","80","""small-world""","300","95","65","301","18","283","1","0.5","1024","90","56","244"
"2","true","""random""","false","80","""small-world""","300","95","45","301","226","75","0.3333333333333333","0.5","463","96","67","233"
"5","true","""random""","false","80","""small-world""","300","95","68","301","235","66","0.2","1","600","159","127","173"
"6","true","""random""","false","80","""small-world""","300","95","39","301","152","149","1","1","426","73","57","243"
"7","true","""random""","false","80","""small-world""","300","95","49","301","261","40","1","0.14285714285714285","726","95","63","237"
"4","true","""random""","false","80","""small-world""","300","95","128","301","68","233","1","0.1","900","89","52","248"
"8","true","""random""","false","80","""small-world""","300","95","74","301","54","247","0.5","0.3333333333333333","492","159","125","175"
"10","true","""random""","false","80","""small-world""","300","95","69","301","245","56","0.3333333333333333","1","497","82","59","241"
"9","true","""random""","false","80","""small-world""","300","95","75","301","132","169","1","1","927","106","53","247"
"13","true","""random""","false","80","""small-world""","300","95","57","301","81","220","0.5","1","407","76","61","239"
"11","true","""random""","false","80","""small-world""","300","95","113","301","134","167","1","1","951","96","42","258"
"14","true","""random""","false","80","""small-world""","300","95","44","301","289","12","0.5","1","430","59","55","245"
"12","true","""random""","false","80","""small-world""","300","95","82","301","217","84","1","0.3333333333333333","379","150","128","172"
"15","true","""random""","false","80","""small-world""","300","95","65","301","209","92","0.5","1","427","78","59","241"
"19","true","""random""","false","80","""small-world""","300","95","47","301","228","73","1","1","628","101","64","236"
"18","true","""random""","false","80","""small-world""","300","95","99","301","224","77","0.3333333333333333","0.5","1236","243","107","193"
"16","true","""random""","false","80","""small-world""","300","95","111","301","203","98","1","0.3333333333333333","856","67","49","251"
"20","true","""random""","false","80","""small-world""","300","95","74","301","277","24","1","0.5","1107","154","51","249"
"17","true","""random""","false","80","""small-world""","300","95","88","301","219","82","0.3333333333333333","0.16666666666666666","1615","152","48","252"
"23","true","""random""","false","80","""small-world""","300","95","37","301","87","214","0.3333333333333333","0.5","374","91","69","231"
"21","true","""random""","false","80","""small-world""","300","95","96","301","91","210","0.5","1","656","171","123","177"
"26","true","""random""","false","80","""small-world""","300","95","54","301","17","284","1","0.1111111111111111","453","178","130","170"
"27","true","""random""","false","80","""small-world""","300","95","54","301","30","271","0.5","0.25","705","216","122","178"
"24","true","""random""","false","80","""small-world""","300","95","61","301","244","57","1","1","998","91","49","251"
"25","true","""random""","false","80","""small-world""","300","95","74","301","26","275","0.5","1","1690","213","64","236"
"28","true","""random""","false","80","""small-world""","300","95","95","301","178","123","0.5","0.5","824","189","119","181"
"29","true","""random""","false","80","""small-world""","300","95","54","301","262","39","0.3333333333333333","0.5","618","95","63","237"
"32","true","""random""","false","80","""small-world""","300","95","45","301","65","236","1","1","424","67","55","245"
"22","true","""random""","false","80","""small-world""","300","95","189","301","143","158","1","1","2833","202","44","256"
"31","true","""random""","false","80","""small-world""","300","95","100","301","166","135","1","1","525","158","123","177"
"30","true","""random""","false","80","""small-world""","300","95","84","301","180","121","1","0.5","1457","174","47","253"
"33","true","""random""","false","80","""small-world""","300","95","54","301","178","123","1","1","563","78","57","243"
"34","true","""random""","false","80","""small-world""","300","95","168","301","135","166","0.2","1","1231","108","47","253"
"36","true","""random""","false","80","""small-world""","300","95","61","301","211","90","1","1","760","125","65","235"
"37","true","""random""","false","80","""small-world""","300","95","41","301","79","222","0.14285714285714285","1","458","67","56","244"
"38","true","""random""","false","80","""small-world""","300","95","132","301","83","218","1","1","945","74","53","247"
"35","true","""random""","false","80","""small-world""","300","95","105","301","190","111","1","1","987","214","109","191"
"39","true","""random""","false","80","""small-world""","300","95","56","301","78","223","1","1","744","111","61","239"
"40","true","""random""","false","80","""small-world""","300","95","53","301","217","84","1","0.5","361","66","58","242"
"41","true","""random""","false","80","""small-world""","300","95","118","301","177","124","1","0.07142857142857142","1046","119","49","251"
"44","true","""random""","false","80","""small-world""","300","95","72","301","38","263","1","0.25","604","95","57","243"
