BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experimentdistrust300linear,,,,,,,,,,,,,,,,,
08/17/2016 16:55:00:231 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
1,true,"""random""",false,50,"""linear""",300,95,17,51,29,22,1,1,61,30,18,32
2,true,"""random""",false,50,"""linear""",300,95,221,300,84,216,34,78,1945,369,132,167
3,true,"""random""",false,50,"""linear""",300,95,113,300,121,179,64,186,523,183,149,150
4,true,"""random""",false,50,"""linear""",300,95,154,300,197,103,153,262,789,209,152,147
5,true,"""random""",false,50,"""linear""",300,95,19,51,3,48,0.5,0.5,95,34,26,24
6,true,"""random""",false,50,"""linear""",300,95,20,51,16,35,1,1,72,31,21,29
7,true,"""random""",false,50,"""linear""",300,95,16,51,26,25,1,0.5,49,28,24,26
8,true,"""random""",false,50,"""linear""",300,95,29,51,36,15,1,1,85,36,16,34
9,true,"""random""",false,50,"""linear""",300,95,23,51,0,51,1,0.3333333333,128,39,26,24
10,true,"""random""",false,50,"""linear""",300,95,22,51,29,22,0.1111111111,1,106,43,22,28
11,true,"""random""",false,50,"""linear""",300,95,269,300,287,13,31,7,2821,427,146,153
12,true,"""random""",false,50,"""linear""",300,95,12,51,12,39,1,0.5,37,26,24,26
13,true,"""random""",false,50,"""linear""",300,95,24,51,24,27,1,1,78,29,19,31
14,true,"""random""",false,50,"""linear""",300,95,24,51,25,26,1,1,152,41,18,32
15,true,"""random""",false,50,"""linear""",300,95,25,51,15,36,1,1,113,50,19,31
16,true,"""random""",false,50,"""linear""",300,95,15,51,40,11,1,1,54,25,21,29
17,true,"""random""",false,50,"""linear""",300,95,21,51,18,33,0.25,1,101,32,19,31
18,true,"""random""",false,50,"""linear""",300,95,26,51,39,12,1,1,141,34,18,32
19,true,"""random""",false,50,"""linear""",300,95,284,300,0,300,289,283,1412,342,155,144
20,true,"""random""",false,50,"""linear""",300,95,191,300,85,215,2,108,1073,289,140,159
21,true,"""random""",false,50,"""linear""",300,95,18,51,28,23,1,0.5,121,38,17,33
22,true,"""random""",false,50,"""linear""",300,95,186,300,90,210,84,113,1103,271,143,156
23,true,"""random""",false,50,"""linear""",300,95,19,51,38,13,0.3333333333,0.5,106,33,16,34
24,true,"""random""",false,50,"""linear""",300,95,19,51,42,9,1,0.5,101,30,19,31
25,true,"""random""",false,50,"""linear""",300,95,19,51,27,24,1,0.3333333333,123,34,22,28
26,true,"""random""",false,50,"""linear""",300,95,90,300,160,140,230,51,142,158,157,142
27,true,"""random""",false,50,"""linear""",300,95,24,51,21,30,1,0.2,92,43,21,29
28,true,"""random""",false,50,"""linear""",300,95,163,300,236,64,137,15,1500,400,140,159
29,true,"""random""",false,50,"""linear""",300,95,113,300,153,147,259,34,143,155,156,143
30,true,"""random""",false,50,"""linear""",300,95,23,51,3,48,1,0.5,131,40,21,29
31,true,"""random""",false,50,"""linear""",300,95,95,300,125,175,53,204,233,167,151,148
32,true,"""random""",false,50,"""linear""",300,95,217,300,248,52,83,10,1127,317,145,154
33,true,"""random""",false,50,"""linear""",300,95,22,51,28,23,1,1,122,41,22,28
34,true,"""random""",false,50,"""linear""",300,95,13,51,26,25,0.5,1,42,27,22,28
35,true,"""random""",false,50,"""linear""",300,95,23,51,7,44,1,1,97,28,23,27
36,true,"""random""",false,50,"""linear""",300,95,276,300,263,37,275,280,1657,391,147,152
37,true,"""random""",false,50,"""linear""",300,95,17,51,43,8,1,0.5,55,28,22,28
38,true,"""random""",false,50,"""linear""",300,95,31,51,22,29,1,1,174,39,18,32
39,true,"""random""",false,50,"""linear""",300,95,124,300,107,193,258,123,503,227,154,145
40,true,"""random""",false,50,"""linear""",300,95,15,51,13,38,0.1111111111,1,46,33,24,26
41,true,"""random""",false,50,"""linear""",300,95,156,300,198,102,144,41,846,254,151,148
42,true,"""random""",false,50,"""linear""",300,95,15,51,22,29,1,1,50,31,21,29
43,true,"""random""",false,50,"""linear""",300,95,30,51,8,43,1,0.3333333333,371,78,23,27
44,true,"""random""",false,50,"""linear""",300,95,94,300,178,122,215,28,140,158,158,141
45,true,"""random""",false,50,"""linear""",300,95,20,51,13,38,0.1111111111,0.1,96,49,23,27
46,true,"""random""",false,50,"""linear""",300,95,27,51,42,9,0.3333333333,0.2,172,45,20,30
47,true,"""random""",false,50,"""linear""",300,95,28,51,20,31,1,1,161,48,17,33
48,true,"""random""",false,50,"""linear""",300,95,233,300,229,71,232,299,1323,363,148,151
49,true,"""random""",false,50,"""linear""",300,95,14,51,26,25,0.5,1,48,27,20,30
