BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experimentdistrust300random,,,,,,,,,,,,,,,,,
08/17/2016 17:03:28:766 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
2,true,"""random""",false,50,"""random""",300,95,34,300,62,238,270,179,153,145,145,153
1,true,"""random""",false,50,"""random""",300,95,17,51,30,21,1,1,62,35,24,26
5,true,"""random""",false,50,"""random""",300,95,46,300,238,62,5,54,151,147,148,151
6,true,"""random""",false,50,"""random""",300,95,30,51,19,32,0.5,1,99,44,21,29
8,true,"""random""",false,50,"""random""",300,95,12,51,8,43,1,1,39,28,24,26
9,true,"""random""",false,50,"""random""",300,95,20,51,51,0,1,1,47,28,23,27
10,true,"""random""",false,50,"""random""",300,95,20,51,16,35,1,0.5,105,36,20,30
11,true,"""random""",false,50,"""random""",300,95,24,51,18,33,1,0.3333333333,91,44,21,29
12,true,"""random""",false,50,"""random""",300,95,21,51,20,31,1,1,94,35,18,32
13,true,"""random""",false,50,"""random""",300,95,15,51,12,39,1,1,57,38,24,26
14,true,"""random""",false,50,"""random""",300,95,16,51,41,10,0.3333333333,1,75,30,21,29
15,true,"""random""",false,50,"""random""",300,95,22,51,17,34,0.2,1,135,40,16,34
16,true,"""random""",false,50,"""random""",300,95,28,51,32,19,1,1,187,46,19,31
17,true,"""random""",false,50,"""random""",300,95,23,51,30,21,1,1,77,36,21,29
4,true,"""random""",false,50,"""random""",300,95,1000,300,24,161,203,269,100,83,83,100
18,true,"""random""",false,50,"""random""",300,95,22,51,7,44,1,1,109,32,22,28
20,true,"""random""",false,50,"""random""",300,95,25,51,30,21,1,1,92,43,19,31
21,true,"""random""",false,50,"""random""",300,95,22,51,25,26,1,1,76,29,20,30
22,true,"""random""",false,50,"""random""",300,95,16,51,3,48,1,1,83,28,21,29
23,true,"""random""",false,50,"""random""",300,95,20,51,25,26,1,1,52,29,23,27
24,true,"""random""",false,50,"""random""",300,95,21,51,31,20,1,1,58,41,24,26
25,true,"""random""",false,50,"""random""",300,95,27,51,44,7,1,1,156,39,23,27
26,true,"""random""",false,50,"""random""",300,95,21,51,39,12,1,1,108,37,16,34
27,true,"""random""",false,50,"""random""",300,95,30,51,17,34,1,1,301,66,16,34
28,true,"""random""",false,50,"""random""",300,95,18,51,24,27,1,0.1,61,28,23,27
29,true,"""random""",false,50,"""random""",300,95,18,51,5,46,0.2,1,85,30,21,29
30,true,"""random""",false,50,"""random""",300,95,15,51,45,6,1,0.1111111111,103,40,20,30
7,true,"""random""",false,50,"""random""",300,95,1000,300,238,0,145,274,1652,276,130,169
31,true,"""random""",false,50,"""random""",300,95,15,51,44,7,0.1,1,73,26,24,26
33,true,"""random""",false,50,"""random""",300,95,27,51,42,9,0.3333333333,1,104,35,20,30
34,true,"""random""",false,50,"""random""",300,95,25,51,2,49,1,0.25,128,37,23,27
35,true,"""random""",false,50,"""random""",300,95,15,51,30,21,0.5,0.2,52,29,21,29
36,true,"""random""",false,50,"""random""",300,95,13,51,12,39,1,1,48,27,21,29
37,true,"""random""",false,50,"""random""",300,95,22,51,17,34,1,0.5,106,31,18,32
38,true,"""random""",false,50,"""random""",300,95,21,51,42,9,1,0.5,113,32,20,30
39,true,"""random""",false,50,"""random""",300,95,27,51,51,0,1,1,37,24,24,26
40,true,"""random""",false,50,"""random""",300,95,24,51,6,45,1,1,124,39,21,29
41,true,"""random""",false,50,"""random""",300,95,18,51,22,29,0.1111111111,1,72,29,22,28
42,true,"""random""",false,50,"""random""",300,95,16,51,16,35,1,0.5,40,27,21,29
19,true,"""random""",false,50,"""random""",300,95,1000,300,112,161,105,76,141,130,139,156
43,true,"""random""",false,50,"""random""",300,95,21,51,11,40,0.5,0.5,109,34,22,28
45,true,"""random""",false,50,"""random""",300,95,25,51,42,9,1,1,154,57,19,31
46,true,"""random""",false,50,"""random""",300,95,17,51,25,26,1,1,54,33,23,27
47,true,"""random""",false,50,"""random""",300,95,23,51,19,32,1,0.25,53,32,22,28
48,true,"""random""",false,50,"""random""",300,95,19,51,29,22,1,0.5,55,26,21,29
49,true,"""random""",false,50,"""random""",300,95,22,51,10,41,1,0.5,73,38,23,27
50,true,"""random""",false,50,"""random""",300,95,19,51,37,14,0.5,0.25,69,34,22,28
51,true,"""random""",false,50,"""random""",300,95,32,51,23,28,1,1,149,44,15,35
32,true,"""random""",false,50,"""random""",300,95,1000,300,238,0,45,36,321,141,143,156
52,true,"""random""",false,50,"""random""",300,95,20,51,26,25,0.2,1,100,37,22,28
54,true,"""random""",false,50,"""random""",300,95,34,51,21,30,1,1,237,50,18,32
53,true,"""random""",false,50,"""random""",300,95,43,300,62,238,199,293,152,146,146,154
55,true,"""random""",false,50,"""random""",300,95,16,51,20,31,0.5,1,95,32,19,31
3,true,"""random""",false,50,"""random""",300,95,1000,300,54,212,91,136,19211,3007,97,168
57,true,"""random""",false,50,"""random""",300,95,25,51,44,7,1,0.5,148,49,18,32
59,true,"""random""",false,50,"""random""",300,95,26,51,18,33,1,1,223,58,19,31
60,true,"""random""",false,50,"""random""",300,95,19,51,24,27,0.5,1,93,38,18,32
61,true,"""random""",false,50,"""random""",300,95,20,51,40,11,1,0.5,92,33,24,26
62,true,"""random""",false,50,"""random""",300,95,24,51,38,13,1,1,107,42,23,27
63,true,"""random""",false,50,"""random""",300,95,21,51,10,41,1,1,144,47,16,34
64,true,"""random""",false,50,"""random""",300,95,16,51,22,29,1,0.1111111111,51,30,21,29
65,true,"""random""",false,50,"""random""",300,95,23,51,51,0,0.1111111111,1,55,26,23,27
66,true,"""random""",false,50,"""random""",300,95,26,51,21,30,1,1,135,38,16,34
67,true,"""random""",false,50,"""random""",300,95,26,51,15,36,1,1,158,39,19,31
68,true,"""random""",false,50,"""random""",300,95,30,51,21,30,0.1111111111,0.5,108,47,17,33
44,true,"""random""",false,50,"""random""",300,95,1000,300,161,24,259,168,101,82,137,158
69,true,"""random""",false,50,"""random""",300,95,21,51,40,11,1,0.5,85,34,23,27
71,true,"""random""",false,50,"""random""",300,95,19,51,26,25,1,1,78,39,23,27
72,true,"""random""",false,50,"""random""",300,95,16,51,27,24,0.2,1,57,34,24,26
73,true,"""random""",false,50,"""random""",300,95,24,51,35,16,0.5,0.3333333333,117,34,23,27
74,true,"""random""",false,50,"""random""",300,95,24,51,13,38,1,0.25,102,33,20,30
75,true,"""random""",false,50,"""random""",300,95,22,51,8,43,0.1111111111,1,104,31,23,27
76,true,"""random""",false,50,"""random""",300,95,15,51,33,18,1,1,55,26,21,29
77,true,"""random""",false,50,"""random""",300,95,32,51,44,7,1,1,204,39,18,32
78,true,"""random""",false,50,"""random""",300,95,16,51,20,31,1,1,69,34,21,29
79,true,"""random""",false,50,"""random""",300,95,27,51,16,35,0.3333333333,1,164,45,19,31
56,true,"""random""",false,50,"""random""",300,95,1000,300,61,177,70,3,18981,2797,112,188
80,true,"""random""",false,50,"""random""",300,95,18,51,12,39,1,1,50,35,26,24
82,true,"""random""",false,50,"""random""",300,95,21,51,16,35,1,1,104,33,18,32
83,true,"""random""",false,50,"""random""",300,95,16,51,40,11,1,1,74,33,24,26
84,true,"""random""",false,50,"""random""",300,95,19,51,35,16,0.1,1,97,40,17,33
85,true,"""random""",false,50,"""random""",300,95,28,51,22,29,0.25,1,91,36,20,30
86,true,"""random""",false,50,"""random""",300,95,24,51,25,26,0.5,1,200,55,17,33
87,true,"""random""",false,50,"""random""",300,95,14,51,25,26,1,1,44,25,23,27
58,true,"""random""",false,50,"""random""",300,95,1000,300,266,27,289,183,139,152,152,140
88,true,"""random""",false,50,"""random""",300,95,26,51,35,16,1,0.5,137,34,19,31
90,true,"""random""",false,50,"""random""",300,95,22,51,0,51,0.1,1,80,45,24,26
91,true,"""random""",false,50,"""random""",300,95,17,51,33,18,1,1,54,29,24,26
92,true,"""random""",false,50,"""random""",300,95,37,51,21,30,0.25,1,479,86,15,35
93,true,"""random""",false,50,"""random""",300,95,20,51,17,34,0.1111111111,0.3333333333,67,40,25,25
94,true,"""random""",false,50,"""random""",300,95,17,51,19,32,0.5,1,43,26,22,28
95,true,"""random""",false,50,"""random""",300,95,15,51,37,14,1,1,43,30,23,27
96,true,"""random""",false,50,"""random""",300,95,25,51,33,18,0.5,1,62,33,24,26
97,true,"""random""",false,50,"""random""",300,95,19,51,41,10,1,1,130,39,17,33
98,true,"""random""",false,50,"""random""",300,95,14,51,29,22,1,0.1,43,28,23,27
99,true,"""random""",false,50,"""random""",300,95,17,51,22,29,1,1,42,31,21,29
100,true,"""random""",false,50,"""random""",300,95,17,51,49,2,1,0.1,70,33,21,29
70,true,"""random""",false,50,"""random""",300,95,1000,300,161,0,294,144,20102,2773,72,223
89,true,"""random""",false,50,"""random""",300,95,1000,300,266,7,122,197,134,137,155,143
81,true,"""random""",false,50,"""random""",300,95,1000,300,193,45,193,60,24098,3580,88,212
