"BehaviorSpace results (NetLogo 5.3)"
"untrust01.nlogo"
"experimentdistrust300sw"
"08/17/2016 17:04:51:810 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","sum [costsTrust] of turtles","sum [costsDisTrust] of turtles","count links with [color = yellow]","count links with [color = green]"
"1","true","""random""","false","50","""small-world""","300","95","22","51","26","25","1","1","51","34","23","27"
"5","true","""random""","false","50","""small-world""","300","95","18","51","45","6","1","1","87","28","19","31"
"6","true","""random""","false","50","""small-world""","300","95","15","51","37","14","1","1","46","29","21","29"
"7","true","""random""","false","50","""small-world""","300","95","16","51","21","30","1","1","46","31","23","27"
"4","true","""random""","false","50","""small-world""","300","95","92","301","94","207","1","0.5","773","238","131","169"
"3","true","""random""","false","50","""small-world""","300","95","83","301","214","87","0.5","0.2","756","219","121","179"
"8","true","""random""","false","50","""small-world""","300","95","20","51","24","27","0.1","1","66","29","20","30"
"2","true","""random""","false","50","""small-world""","300","95","120","301","138","163","0.5","0.2","1695","370","128","172"
"10","true","""random""","false","50","""small-world""","300","95","41","301","154","147","1","1","201","154","142","158"
"11","true","""random""","false","50","""small-world""","300","95","24","51","18","33","1","1","71","36","23","27"
"13","true","""random""","false","50","""small-world""","300","95","57","301","158","143","1","1","259","174","143","157"
"14","true","""random""","false","50","""small-world""","300","95","42","51","34","17","0.5","0.2","264","59","18","32"
"16","true","""random""","false","50","""small-world""","300","95","20","51","50","1","1","1","80","31","22","28"
"17","true","""random""","false","50","""small-world""","300","95","17","51","11","40","1","1","89","40","25","25"
"9","true","""random""","false","50","""small-world""","300","95","71","301","136","165","0.16666666666666666","1","761","234","131","169"
"12","true","""random""","false","50","""small-world""","300","95","109","301","222","79","1","1","1035","288","117","183"
"18","true","""random""","false","50","""small-world""","300","95","31","51","42","9","0.5","0.1111111111111111","181","46","15","35"
