BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,
untrust01.nlogo,,,,,,,,,,,,,,,,,
experimentdistrust300total,,,,,,,,,,,,,,,,,
08/17/2016 17:01:34:143 +0100,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,30,0,31,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],_log,discovery_type,_exportMovie,proportionSkeptic,_network_type,_nodes,confirmationSkeptic,[step],count turtles,count turtles with [ p? ],count turtles with [ _p? ],[ranking] of turtle discoverP,[ranking] of turtle discoverNotP,sum [costsTrust] of turtles,sum [costsDisTrust] of turtles,count links with [color = yellow],count links with [color = green]
1,true,"""random""",false,50,"""total""",300,95,23,51,28,23,1,0.1111111111,132,41,17,33
2,true,"""random""",false,50,"""total""",300,95,10,300,187,203,0,0,1262,290,180,781
3,true,"""random""",false,50,"""total""",300,95,10,300,141,159,0,0,1132,279,169,679
4,true,"""random""",false,50,"""total""",300,95,10,300,132,168,0,0,1338,308,191,772
5,true,"""random""",false,50,"""total""",300,95,23,51,29,22,1,1,109,40,17,33
6,true,"""random""",false,50,"""total""",300,95,25,51,36,15,1,1,171,56,16,34
7,true,"""random""",false,50,"""total""",300,95,20,51,28,23,0.5,0.5,46,35,23,27
8,true,"""random""",false,50,"""total""",300,95,27,51,9,42,0.25,1,189,46,19,31
9,true,"""random""",false,50,"""total""",300,95,16,51,49,2,0.5,0.5,87,28,24,26
10,true,"""random""",false,50,"""total""",300,95,21,51,27,24,0.5,1,103,38,21,29
11,true,"""random""",false,50,"""total""",300,95,23,51,4,47,0.5,0.25,132,33,24,26
12,true,"""random""",false,50,"""total""",300,95,28,51,43,8,1,1,130,37,22,28
13,true,"""random""",false,50,"""total""",300,95,20,51,25,26,1,1,67,32,20,30
14,true,"""random""",false,50,"""total""",300,95,29,51,0,51,1,1,30,25,25,25
15,true,"""random""",false,50,"""total""",300,95,12,51,10,41,1,0.5,41,28,25,25
16,true,"""random""",false,50,"""total""",300,95,17,51,32,19,1,1,67,28,21,29
17,true,"""random""",false,50,"""total""",300,95,20,51,32,19,1,1,56,35,20,30
18,true,"""random""",false,50,"""total""",300,95,9,300,203,97,0,0,773,233,333,1267
19,true,"""random""",false,50,"""total""",300,95,19,51,26,25,1,0.5,53,26,21,29
