"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment210sw"
"11/11/2015 10:53:21:468 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","42","211","136","9","202","0.125","1"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","40","211","190","112","99","1","1"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","25","211","115","66","145","0.3333333333333333","0.05263157894736842"
"6","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","50","211","108","0","211","1","1"
"8","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","35","211","196","190","21","1","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","51","211","110","187","24","1","1"
"7","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","33","211","157","152","59","1","1"
"9","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","38","211","176","13","198","1","1"
"11","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","31","211","123","55","156","0.5","0.3333333333333333"
"12","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","44","211","134","10","201","1","1"
"10","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","44","211","166","211","0","1","1"
"13","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","32","211","169","60","151","0.3333333333333333","1"
"14","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","40","211","224","18","193","0.3333333333333333","1"
"16","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","25","211","127","55","156","0.3333333333333333","0.5"
"17","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","53","211","110","211","0","1","0.5"
"18","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","35","211","125","0","211","0.3333333333333333","1"
"20","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","46","211","161","0","211","0.3333333333333333","1"
"21","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","38","211","161","9","202","1","1"
"19","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","24","211","166","79","132","1","1"
"15","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","61","211","138","198","13","0.2","0.25"
"24","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","54","211","148","176","35","0.5","1"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","67","211","204","211","0","1","0.3333333333333333"
"22","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","56","211","301","8","203","0.5","1"
"23","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","69","211","110","9","202","0.5","0.5"
"26","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","26","211","153","60","151","1","0.5"
"28","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","37","211","148","4","207","0.5","1"
"27","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","43","211","190","19","192","1","1"
"29","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","43","211","255","148","63","1","0.14285714285714285"
"25","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","79","211","244","45","166","1","1"
"30","true","""lazyP-skepticNotP""","false","50","""small-world""","210","95","45","211","270","194","17","1","0.5"
