"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment80linear"
"11/11/2015 11:12:11:696 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"3","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","23","80","46","37","43","65","20"
"4","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","26","80","43","40","40","66","14"
"2","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","37","80","79","7","73","78","36"
"5","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","32","80","72","63","17","47","11"
"6","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","29","80","67","22","58","67","29"
"9","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","30","80","43","42","38","11","71"
"7","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","61","80","171","66","14","5","18"
"8","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","53","80","182","1","80","25","26"
"10","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","30","80","43","39","41","26","49"
"12","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","35","80","50","42","38","34","45"
"13","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","30","80","71","20","60","7","49"
"11","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","57","80","157","17","63","22","7"
"14","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","38","80","46","39","41","78","2"
"15","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","26","80","43","36","44","11","62"
"17","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","27","80","48","43","37","64","10"
"19","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","22","80","52","36","44","17","58"
"16","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","31","80","39","43","37","30","49"
"18","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","57","80","97","0","80","60","57"
"21","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","33","80","59","51","29","32","56"
"20","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","25","80","68","30","50","17","54"
"23","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","28","80","45","53","27","51","6"
"25","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","52","80","87","80","0","51","58"
"26","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","42","80","69","10","70","4","37"
"27","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","26","80","39","29","51","76","25"
"24","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","37","80","74","19","61","68","37"
"28","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","41","80","41","51","29","41","59"
"30","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","31","80","53","37","43","48","21"
"29","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","33","80","46","52","28","46","10"
"22","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","58","80","43","13","67","75","57"
"1","true","""lazyP-skepticNotP""","false","50","""linear""","80","95","42","80","99","80","0","42","76"
