"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment100random"
"11/12/2015 12:20:49:252 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"4","true","""lazyP-skepticNotP""","false","50","""random""","100","95","20","100","97","21","79","71","42"
"5","true","""lazyP-skepticNotP""","false","50","""random""","100","95","28","100","53","43","57","6","29"
"6","true","""lazyP-skepticNotP""","false","50","""random""","100","95","18","100","115","100","0","77","98"
"7","true","""lazyP-skepticNotP""","false","50","""random""","100","95","19","100","113","100","0","77","54"
"8","true","""lazyP-skepticNotP""","false","50","""random""","100","95","22","100","53","30","70","2","19"
"9","true","""lazyP-skepticNotP""","false","50","""random""","100","95","21","100","97","4","96","2","64"
"10","true","""lazyP-skepticNotP""","false","50","""random""","100","95","27","100","53","22","78","15","94"
"11","true","""lazyP-skepticNotP""","false","50","""random""","100","95","22","100","119","100","0","21","30"
"12","true","""lazyP-skepticNotP""","false","50","""random""","100","95","22","100","83","76","24","70","32"
"13","true","""lazyP-skepticNotP""","false","50","""random""","100","95","32","100","77","100","0","11","23"
"14","true","""lazyP-skepticNotP""","false","50","""random""","100","95","35","100","57","12","88","22","34"
"2","true","""lazyP-skepticNotP""","false","50","""random""","100","95","1000","100","125","0","93","35","32"
"15","true","""lazyP-skepticNotP""","false","50","""random""","100","95","32","100","61","100","0","6","35"
"17","true","""lazyP-skepticNotP""","false","50","""random""","100","95","20","100","87","34","66","8","4"
"18","true","""lazyP-skepticNotP""","false","50","""random""","100","95","21","100","59","43","57","6","17"
"19","true","""lazyP-skepticNotP""","false","50","""random""","100","95","18","100","53","21","79","86","64"
"20","true","""lazyP-skepticNotP""","false","50","""random""","100","95","28","100","119","100","0","18","98"
"21","true","""lazyP-skepticNotP""","false","50","""random""","100","95","18","100","99","95","5","67","23"
"22","true","""lazyP-skepticNotP""","false","50","""random""","100","95","20","100","53","43","57","21","20"
"23","true","""lazyP-skepticNotP""","false","50","""random""","100","95","24","100","105","0","100","72","90"
"24","true","""lazyP-skepticNotP""","false","50","""random""","100","95","25","100","59","45","55","47","54"
"25","true","""lazyP-skepticNotP""","false","50","""random""","100","95","25","100","53","57","43","2","80"
"26","true","""lazyP-skepticNotP""","false","50","""random""","100","95","20","100","77","79","21","8","80"
"27","true","""lazyP-skepticNotP""","false","50","""random""","100","95","25","100","53","78","22","85","37"
"3","true","""lazyP-skepticNotP""","false","50","""random""","100","95","1000","100","58","61","35","84","6"
"28","true","""lazyP-skepticNotP""","false","50","""random""","100","95","24","100","59","98","2","44","34"
"30","true","""lazyP-skepticNotP""","false","50","""random""","100","95","25","100","65","92","8","85","89"
"16","true","""lazyP-skepticNotP""","false","50","""random""","100","95","1000","100","101","93","0","83","97"
"29","true","""lazyP-skepticNotP""","false","50","""random""","100","95","1000","100","60","0","35","93","72"
"1","true","""lazyP-skepticNotP""","false","50","""random""","100","95","1000","100","18","23","16","51","37"
