"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment200"
"11/03/2015 17:19:43:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","confirmationSkeptic","_network_type","proportionSkeptic","discovery_type","_nodes","_log","_exportMovie","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","2","2","2","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","2","201","2","3","3","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","0","2","2","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","3","201","3","4","4","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","4","201","4","5","5","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","2","201","2","3","3","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","3","201","3","4","4","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","4","201","3","5","5","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","5","201","6","5","7","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","5","201","4","6","6","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","6","201","7","6","11","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","6","201","5","8","7","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","7","201","6","10","8","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","7","201","11","8","15","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","8","201","7","11","10","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","8","201","16","11","18","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","9","201","10","12","12","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","10","201","13","13","15","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","9","201","20","11","22","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","10","201","23","12","26","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","11","201","25","13","29","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","12","201","28","14","33","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","13","201","29","16","39","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","14","201","33","18","41","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","15","201","35","21","43","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","16","201","39","24","46","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","17","201","40","28","49","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","18","201","43","34","50","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","19","201","48","41","51","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","20","201","53","48","50","1","0.5"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","21","201","59","54","49","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","11","201","14","13","17","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","22","201","64","60","47","1","0.5"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","12","201","15","14","19","1","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","13","201","16","15","21","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","23","201","71","66","45","1","0.5"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","14","201","18","16","23","1","1"
"3","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","24","201","80","75","41","1","0.5"
"4","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","2","2","2","0.5","1"
"2","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","15","201","19","17","24","1","1"
