"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment10"
"11/04/2015 11:44:16:653 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","proportionSkeptic","_network_type","_nodes","_exportMovie","discovery_type","_log","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","0","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","1","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","2","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","3","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","4","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","5","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","6","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","7","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","8","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","9","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","10","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","11","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","12","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","13","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","14","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","15","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","16","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","17","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","18","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","19","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","20","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","21","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","22","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","23","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","24","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","25","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"4","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","0","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","26","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"2","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","0","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","27","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"4","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","1","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"2","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","1","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"2","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","2","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"4","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","2","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"2","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","3","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"3","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","28","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"4","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","3","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
"2","50","""small-world""","10","false","""lazyP-skepticNotP""","true","95","4","11","0","0","0","<ArgumentTypeException>","<ArgumentTypeException>"
