"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment10"
"11/04/2015 11:25:29:954 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","2","2","2","2","2","2","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8","9","9","9","9","9","9"
"proportionSkeptic","50",,,,,,"50",,,,,,"50",,,,,,"50",,,,,,"50",,,,,,"50",,,,,
"_network_type","""small-world""",,,,,,"""small-world""",,,,,,"""small-world""",,,,,,"""small-world""",,,,,,"""small-world""",,,,,,"""small-world""",,,,,
"_nodes","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"_exportMovie","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"discovery_type","""lazyP-skepticNotP""",,,,,,"""lazyP-skepticNotP""",,,,,,"""lazyP-skepticNotP""",,,,,,"""lazyP-skepticNotP""",,,,,,"""lazyP-skepticNotP""",,,,,,"""lazyP-skepticNotP""",,,,,
"_log","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"confirmationSkeptic","95",,,,,,"95",,,,,,"95",,,,,,"95",,,,,,"95",,,,,,"95",,,,,
"[reporter]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"[final]","11","9","11","0","1","1","11","8","11","0","1","1","11","12","10","1","1","1","11","14","11","0","1","0.5","11","19","11","0","0.3333333333333333","1","11","7","11","0","0.5","1"
"[min]","11","0","1","0","1","1","11","0","1","0","1","1","11","0","1","1","1","1","11","0","1","0","1","0.5","11","0","1","0","0.3333333333333333","1","11","0","1","0","0.5","1"
"[max]","11","9","11","1","1","1","11","8","11","1","1","1","11","12","10","3","1","1","11","14","11","3","1","0.5","11","19","11","3","0.3333333333333333","1","11","7","11","2","0.5","1"
"[mean]","11","4.5","6","0.5833333333333334","1","1","11","4.545454545454546","6.2727272727272725","0.8181818181818182","1","1","11","3.090909090909091","4.454545454545454","1.5454545454545454","1","1","11","6.7","5","1.7","1","0.5","11","10.2","5.2","1.5","0.33333333333333337","1","11","3.125","5.125","0.75","0.5","1"
"[steps]","11","11","11","11","11","11","10","10","10","10","10","10","10","10","10","10","10","10","9","9","9","9","9","9","9","9","9","9","9","9","7","7","7","7","7","7"

