"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment"
"11/05/2015 09:38:09:868 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.5"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","1"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","1","0.16666666666666666"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","0.16666666666666666"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","1","1"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","2","3","3","1","1"
"3","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","1","3","2","1","1"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","4","2","3","1","0.16666666666666666"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","3","1","2","1","0.5"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","8","1","5","1","0.16666666666666666"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","6","1","4","1","0.5"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","4","3","3","1","1"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","0","8","1","0.16666666666666666"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","9","1","5","1","0.5"
"4","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","7","4","4","1","1"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","12","0","10","1","0.16666666666666666"
"2","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","13","0","11","1","0.16666666666666666"
"1","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","1","6","1","0.5"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.5","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","3","2","1","0.5","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","6","4","1","0.5","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","3","11","8","6","1","0.5","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","4","11","11","7","1","0.5","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","5","11","15","9","0","0.5","1"
"5","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","6","11","17","11","0","0.5","1"
"6","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","0","11","0","1","1","0.5","1"
"6","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","1","11","1","2","2","0.5","1"
"6","true","""lazyP-skepticNotP""","false","50","""small-world""","10","95","2","11","2","4","3","0.5","1"
