"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment50skeptic"
"11/05/2015 10:48:16:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"2","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","13","51","50","44","7","1","0.5"
"3","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","15","51","63","0","51","1","1"
"5","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","20","51","82","41","10","1","1"
"7","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","18","51","100","1","50","0.07692307692307693","1"
"4","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","20","51","62","51","0","1","1"
"6","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","18","51","97","51","0","1","0.2"
"8","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","22","51","44","0","51","1","1"
"9","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","15","51","50","51","0","0.3333333333333333","1"
"11","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","16","51","44","0","51","1","0.5"
"10","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","23","51","107","0","51","1","1"
"13","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","19","51","54","0","51","1","1"
"12","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","19","51","72","51","0","0.3333333333333333","1"
"14","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","18","51","85","0","51","1","0.5"
"15","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","17","51","44","0","51","1","0.16666666666666666"
"16","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","15","51","74","51","0","1","1"
"17","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","22","51","125","46","5","0.5","1"
"20","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","21","51","51","51","0","1","1"
"19","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","18","51","100","51","0","0.3333333333333333","1"
"18","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","22","51","66","20","31","1","1"
"22","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","15","51","112","51","0","1","1"
"23","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","19","51","72","32","19","0.07692307692307693","1"
"21","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","17","51","65","0","51","0.5","0.5"
"25","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","16","51","74","8","43","0.5","1"
"26","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","20","51","53","0","51","1","1"
"27","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","23","51","52","51","0","0.07692307692307693","1"
"29","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","20","51","62","0","51","0.07692307692307693","1"
"30","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","19","51","76","3","48","1","1"
"28","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","15","51","89","0","51","1","1"
"24","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","20","51","66","51","0","1","1"
"1","true","""lazyP-skepticNotP""","false","80","""small-world""","50","100","25","51","135","1","50","0.5","1"
